Log_ID,Resource_ID,Log_Source,Log_Timestamp,Security_Event_Count,Carbon_Factor,Cloud_Provider
LOG184,VM100296,AzureMonitor,2026-01-08 16:00:00+00:00,5,0.33,AWS
LOG185,VM100166,CloudWatch,2026-01-08 17:00:00+00:00,1,0.48,Azure
LOG186,VM100164,AzureMonitor,2026-01-08 18:00:00+00:00,3,0.39,Azure
LOG187,VM100171,CloudWatch,2026-01-08 19:00:00+00:00,5,0.53,Azure
LOG188,VM100215,Stackdriver,2026-01-08 20:00:00+00:00,3,0.41,Azure
LOG189,VM100273,Stackdriver,2026-01-08 21:00:00+00:00,1,0.37,GCP
LOG190,VM100216,Stackdriver,2026-01-08 22:00:00+00:00,4,0.48,GCP
LOG191,VM100113,Stackdriver,2026-01-08 23:00:00+00:00,0,0.32,AWS
LOG192,VM100105,CloudWatch,2026-01-09 00:00:00+00:00,2,0.42,AWS
LOG193,VM100057,CloudWatch,2026-01-09 01:00:00+00:00,2,0.36,AWS
LOG194,VM100151,AzureMonitor,2026-01-09 02:00:00+00:00,1,0.5,GCP
LOG195,VM100216,CloudWatch,2026-01-09 03:00:00+00:00,1,0.5,AWS
LOG196,VM100071,CloudWatch,2026-01-09 04:00:00+00:00,5,0.46,Azure
LOG197,VM100014,Stackdriver,2026-01-09 05:00:00+00:00,3,0.36,GCP
LOG198,VM100055,Stackdriver,2026-01-09 06:00:00+00:00,4,0.27,GCP
LOG199,VM100081,CloudWatch,2026-01-09 07:00:00+00:00,1,0.36,AWS
LOG200,VM100126,CloudWatch,2026-01-09 08:00:00+00:00,0,0.42,Azure
LOG201,VM100077,CloudWatch,2026-01-09 09:00:00+00:00,3,0.47,GCP
LOG202,VM100271,Stackdriver,2026-01-09 10:00:00+00:00,2,0.39,GCP
LOG203,VM100173,AzureMonitor,2026-01-09 11:00:00+00:00,5,0.46,Azure
LOG204,VM100057,CloudWatch,2026-01-09 12:00:00+00:00,0,0.51,AWS
LOG205,VM100089,Stackdriver,2026-01-09 13:00:00+00:00,1,0.25,Azure
LOG206,VM100233,Stackdriver,2026-01-09 14:00:00+00:00,5,0.5,GCP
LOG207,VM100257,AzureMonitor,2026-01-09 15:00:00+00:00,5,0.32,AWS
LOG208,VM100140,CloudWatch,2026-01-09 16:00:00+00:00,4,0.36,AWS
LOG209,VM100109,AzureMonitor,2026-01-09 17:00:00+00:00,4,0.27,Azure
LOG210,VM100095,Stackdriver,2026-01-09 18:00:00+00:00,4,0.43,AWS
LOG211,VM100240,AzureMonitor,2026-01-09 19:00:00+00:00,2,0.45,Azure
LOG212,VM100195,CloudWatch,2026-01-09 20:00:00+00:00,0,0.49,GCP
LOG213,VM100218,CloudWatch,2026-01-09 21:00:00+00:00,2,0.28,AWS
LOG214,VM100186,Stackdriver,2026-01-09 22:00:00+00:00,2,0.26,Azure
LOG215,VM100084,Stackdriver,2026-01-09 23:00:00+00:00,0,0.27,GCP
LOG216,VM100006,AzureMonitor,2026-01-10 00:00:00+00:00,1,0.42,GCP
LOG217,VM100017,CloudWatch,2026-01-10 01:00:00+00:00,2,0.28,GCP
LOG218,VM100290,CloudWatch,2026-01-10 02:00:00+00:00,4,0.55,Azure
LOG219,VM100024,CloudWatch,2026-01-10 03:00:00+00:00,2,0.28,Azure
LOG220,VM100005,AzureMonitor,2026-01-10 04:00:00+00:00,2,0.54,GCP
LOG221,VM100100,AzureMonitor,2026-01-10 05:00:00+00:00,3,0.47,AWS
LOG222,VM100050,AzureMonitor,2026-01-10 06:00:00+00:00,3,0.52,GCP
LOG223,VM100052,Stackdriver,2026-01-10 07:00:00+00:00,1,0.26,Azure
LOG224,VM100245,Stackdriver,2026-01-10 08:00:00+00:00,0,0.34,AWS
LOG225,VM100238,CloudWatch,2026-01-10 09:00:00+00:00,5,0.28,GCP
LOG226,VM100119,CloudWatch,2026-01-10 10:00:00+00:00,5,0.45,GCP
LOG227,VM100083,Stackdriver,2026-01-10 11:00:00+00:00,4,0.55,GCP
LOG228,VM100268,AzureMonitor,2026-01-10 12:00:00+00:00,3,0.49,Azure
LOG229,VM100149,AzureMonitor,2026-01-10 13:00:00+00:00,4,0.51,Azure
LOG230,VM100021,Stackdriver,2026-01-10 14:00:00+00:00,5,0.37,AWS
LOG231,VM100039,CloudWatch,2026-01-10 15:00:00+00:00,4,0.44,Azure
LOG232,VM100050,CloudWatch,2026-01-10 16:00:00+00:00,1,0.48,Azure
LOG233,VM100281,CloudWatch,2026-01-10 17:00:00+00:00,3,0.28,Azure
LOG234,VM100087,AzureMonitor,2026-01-10 18:00:00+00:00,1,0.27,GCP
LOG235,VM100187,AzureMonitor,2026-01-10 19:00:00+00:00,0,0.27,GCP
LOG236,VM100236,AzureMonitor,2026-01-10 20:00:00+00:00,3,0.54,Azure
LOG237,VM100072,CloudWatch,2026-01-10 21:00:00+00:00,4,0.4,Azure
LOG238,VM100147,AzureMonitor,2026-01-10 22:00:00+00:00,3,0.51,GCP
LOG239,VM100067,AzureMonitor,2026-01-10 23:00:00+00:00,2,0.4,GCP
LOG240,VM100161,AzureMonitor,2026-01-11 00:00:00+00:00,0,0.45,GCP
LOG241,VM100231,AzureMonitor,2026-01-11 01:00:00+00:00,5,0.26,GCP
LOG242,VM100030,Stackdriver,2026-01-11 02:00:00+00:00,1,0.46,GCP
LOG243,VM100005,CloudWatch,2026-01-11 03:00:00+00:00,0,0.34,AWS
LOG244,VM100292,AzureMonitor,2026-01-11 04:00:00+00:00,0,0.32,Azure
LOG245,VM100048,AzureMonitor,2026-01-11 05:00:00+00:00,3,0.39,GCP
LOG246,VM100239,CloudWatch,2026-01-11 06:00:00+00:00,0,0.3,AWS
LOG247,VM100204,AzureMonitor,2026-01-11 07:00:00+00:00,1,0.37,AWS
LOG248,VM100163,AzureMonitor,2026-01-11 08:00:00+00:00,4,0.4,GCP
LOG249,VM100244,CloudWatch,2026-01-11 09:00:00+00:00,2,0.39,GCP
LOG250,VM100080,AzureMonitor,2026-01-11 10:00:00+00:00,1,0.44,Azure
LOG251,VM100291,CloudWatch,2026-01-11 11:00:00+00:00,4,0.48,AWS
LOG252,VM100186,AzureMonitor,2026-01-11 12:00:00+00:00,3,0.31,AWS
LOG253,VM100012,Stackdriver,2026-01-11 13:00:00+00:00,3,0.33,GCP
LOG254,VM100091,CloudWatch,2026-01-11 14:00:00+00:00,1,0.27,Azure
LOG255,VM100042,AzureMonitor,2026-01-11 15:00:00+00:00,5,0.39,Azure
LOG256,VM100269,CloudWatch,2026-01-11 16:00:00+00:00,5,0.52,AWS
LOG257,VM100028,CloudWatch,2026-01-11 17:00:00+00:00,3,0.35,Azure
LOG258,VM100085,CloudWatch,2026-01-11 18:00:00+00:00,2,0.53,Azure
LOG259,VM100244,Stackdriver,2026-01-11 19:00:00+00:00,5,0.49,GCP
LOG260,VM100224,AzureMonitor,2026-01-11 20:00:00+00:00,5,0.42,AWS
LOG261,VM100288,Stackdriver,2026-01-11 21:00:00+00:00,1,0.27,GCP
LOG262,VM100297,Stackdriver,2026-01-11 22:00:00+00:00,1,0.35,GCP
LOG263,VM100163,CloudWatch,2026-01-11 23:00:00+00:00,1,0.52,AWS
LOG264,VM100256,AzureMonitor,2026-01-12 00:00:00+00:00,0,0.49,GCP
LOG265,VM100209,AzureMonitor,2026-01-12 01:00:00+00:00,4,0.47,Azure
LOG266,VM100065,Stackdriver,2026-01-12 02:00:00+00:00,3,0.44,GCP
LOG267,VM100050,CloudWatch,2026-01-12 03:00:00+00:00,1,0.47,AWS
LOG268,VM100216,Stackdriver,2026-01-12 04:00:00+00:00,4,0.48,GCP
LOG269,VM100194,CloudWatch,2026-01-12 05:00:00+00:00,2,0.31,AWS
LOG270,VM100296,CloudWatch,2026-01-12 06:00:00+00:00,2,0.49,AWS
LOG271,VM100155,AzureMonitor,2026-01-12 07:00:00+00:00,4,0.5,AWS
LOG272,VM100256,Stackdriver,2026-01-12 08:00:00+00:00,3,0.37,Azure
LOG273,VM100181,Stackdriver,2026-01-12 09:00:00+00:00,3,0.41,Azure
LOG274,VM100059,CloudWatch,2026-01-12 10:00:00+00:00,3,0.38,AWS
LOG275,VM100284,Stackdriver,2026-01-12 11:00:00+00:00,1,0.41,Azure
LOG276,VM100146,Stackdriver,2026-01-12 12:00:00+00:00,5,0.45,GCP
LOG277,VM100146,Stackdriver,2026-01-12 13:00:00+00:00,4,0.53,AWS
LOG278,VM100045,CloudWatch,2026-01-12 14:00:00+00:00,0,0.44,GCP
LOG279,VM100211,CloudWatch,2026-01-12 15:00:00+00:00,3,0.47,GCP
LOG280,VM100279,CloudWatch,2026-01-12 16:00:00+00:00,5,0.38,GCP
LOG281,VM100017,Stackdriver,2026-01-12 17:00:00+00:00,2,0.51,AWS
LOG282,VM100115,AzureMonitor,2026-01-12 18:00:00+00:00,4,0.36,AWS
LOG283,VM100241,CloudWatch,2026-01-12 19:00:00+00:00,2,0.54,Azure
LOG284,VM100212,Stackdriver,2026-01-12 20:00:00+00:00,5,0.49,Azure
LOG285,VM100004,AzureMonitor,2026-01-12 21:00:00+00:00,1,0.4,Azure
LOG286,VM100136,AzureMonitor,2026-01-12 22:00:00+00:00,3,0.45,AWS
LOG287,VM100213,CloudWatch,2026-01-12 23:00:00+00:00,0,0.26,Azure
LOG288,VM100266,Stackdriver,2026-01-13 00:00:00+00:00,4,0.35,AWS
LOG289,VM100293,AzureMonitor,2026-01-13 01:00:00+00:00,1,0.42,Azure
LOG290,VM100099,Stackdriver,2026-01-13 02:00:00+00:00,5,0.37,AWS
LOG291,VM100296,AzureMonitor,2026-01-13 03:00:00+00:00,1,0.53,Azure
LOG292,VM100089,AzureMonitor,2026-01-13 04:00:00+00:00,2,0.41,Azure
LOG293,VM100119,CloudWatch,2026-01-13 05:00:00+00:00,5,0.49,GCP
LOG294,VM100061,Stackdriver,2026-01-13 06:00:00+00:00,4,0.49,GCP
LOG295,VM100134,Stackdriver,2026-01-13 07:00:00+00:00,1,0.53,AWS
LOG296,VM100048,CloudWatch,2026-01-13 08:00:00+00:00,0,0.38,GCP
LOG297,VM100079,CloudWatch,2026-01-13 09:00:00+00:00,4,0.46,AWS
LOG298,VM100293,AzureMonitor,2026-01-13 10:00:00+00:00,0,0.47,AWS
LOG299,VM100233,Stackdriver,2026-01-13 11:00:00+00:00,5,0.48,AWS
LOG300,VM100123,Stackdriver,2026-01-13 12:00:00+00:00,1,0.34,GCP
LOG301,VM100126,Stackdriver,2026-01-13 13:00:00+00:00,3,0.48,GCP
LOG302,VM100027,AzureMonitor,2026-01-13 14:00:00+00:00,0,0.53,GCP
LOG303,VM100012,Stackdriver,2026-01-13 15:00:00+00:00,4,0.51,AWS
LOG304,VM100236,Stackdriver,2026-01-13 16:00:00+00:00,0,0.28,Azure
LOG305,VM100135,CloudWatch,2026-01-13 17:00:00+00:00,0,0.27,Azure
LOG306,VM100107,AzureMonitor,2026-01-13 18:00:00+00:00,0,0.4,AWS
LOG307,VM100212,CloudWatch,2026-01-13 19:00:00+00:00,3,0.54,AWS
LOG308,VM100108,Stackdriver,2026-01-13 20:00:00+00:00,3,0.36,Azure
LOG309,VM100231,CloudWatch,2026-01-13 21:00:00+00:00,1,0.34,AWS
LOG310,VM100291,Stackdriver,2026-01-13 22:00:00+00:00,4,0.51,AWS
LOG311,VM100176,AzureMonitor,2026-01-13 23:00:00+00:00,3,0.55,GCP
LOG312,VM100280,CloudWatch,2026-01-14 00:00:00+00:00,1,0.41,Azure
LOG313,VM100063,CloudWatch,2026-01-14 01:00:00+00:00,4,0.26,AWS
