Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date_x,Canonical_Service,Usage_Seconds,Credit_Tag,Usage_Type,Z_Score,Usage_Anomaly,Valid_Format,Inventory_Status,Effective_Date_y,Unit_Price,FX_Rate,Cost_USD,Purchase_Type
U760,ACCT1098,VM100024,2026-01-02 15:00:00,Storage,SKU11,9169,sec,733.52,INR,100.0,0.08,2026-01-01,Database,9169.0,No Credit,Paid Usage,-1.1054372529320693,Normal,False,Mapped,,,0.012,8.8,Spot
U518,ACCT1056,VM100055,2026-01-02 19:00:00,Database,SKU8,6562,sec,524.96,INR,0.0,0.08,2026-01-01,Storage,6562.0,No Credit,Paid Usage,-1.2846989982828743,Normal,False,Mapped,,,0.012,6.3,Spot
U417,ACCT1093,VM100294,2026-01-02 22:00:00,Database,SKU8,17241,sec,1379.28,INR,0.0,0.08,2026-01-01,Storage,17241.0,No Credit,Paid Usage,-0.5503928308102058,Normal,False,Mapped,,,0.012,16.55,On-Demand
U773,ACCT1072,VM100028,2026-01-02 23:00:00,Storage,SKU17,42265,sec,3381.2,INR,0.0,0.08,2026-01-01,Compute,42265.0,No Credit,Paid Usage,1.1702998871255612,Normal,False,Mapped,,,0.012,40.57,On-Demand
U125,ACCT1065,VM100175,2026-01-03 03:00:00,Network,SKU4,27628,sec,2210.24,INR,0.0,0.08,2026-01-01,Database,27628.0,No Credit,Paid Usage,0.16383492099601268,Normal,False,Mapped,,,0.012,26.52,Spot
U173,ACCT1040,VM100283,2026-01-03 08:00:00,Network,SKU3,36292,sec,2903.36,INR,0.0,0.08,2026-01-01,Compute,36292.0,No Credit,Paid Usage,0.7595862680306789,Normal,False,Mapped,2025-05-01,0.35,0.012,34.84,RESERVED
U186,ACCT1068,VM100234,2026-01-03 14:00:00,Storage,SKU14,47446,sec,3795.68,INR,0.0,0.08,2026-01-01,Network,47446.0,No Credit,Paid Usage,1.5265542418100724,Normal,False,Mapped,,,0.012,45.55,On-Demand
U230,ACCT1076,VM100166,2026-01-03 16:00:00,Database,SKU2,11519,sec,921.52,INR,0.0,0.08,2026-01-01,Compute,11519.0,No Credit,Paid Usage,-0.9438472638356398,Normal,False,Mapped,2025-06-01,0.25,0.012,11.06,RESERVED
U586,ACCT1099,VM100038,2026-01-03 20:00:00,Compute,SKU1,38593,sec,3087.44,INR,0.0,0.08,2026-01-01,Network,38593.0,No Credit,Paid Usage,0.9178069339502041,Normal,False,Mapped,2025-07-01,0.15,0.012,37.05,RESERVED
U744,ACCT1022,VM100207,2026-01-04 06:00:00,Storage,SKU5,15069,sec,1205.52,INR,100.0,0.08,2026-01-01,Compute,15069.0,No Credit,Paid Usage,-0.6997432377537994,Normal,False,Mapped,,,0.012,14.47,On-Demand
U115,ACCT1011,VM100241,2026-01-04 07:00:00,Compute,SKU12,49188,sec,3935.04,INR,0.0,0.08,2026-01-01,Storage,49188.0,No Credit,Paid Usage,1.6463371188338938,Normal,False,Mapped,,,0.012,47.22,On-Demand
U649,ACCT1030,VM100113,2026-01-04 09:00:00,Network,SKU1,34601,sec,2768.08,INR,0.0,0.08,2026-01-01,Network,34601.0,No Credit,Paid Usage,0.6433102375787374,Normal,False,Mapped,2025-07-01,0.15,0.012,33.22,Spot
U697,ACCT1035,VM100191,2026-01-04 10:00:00,Database,SKU10,22242,sec,1779.36,INR,0.0,0.08,2026-01-01,STORAGE,22242.0,No Credit,Paid Usage,-0.20651558167350623,Normal,False,Mapped,,,0.012,21.35,RESERVED
U991,ACCT1094,VM100099,2026-01-04 15:00:00,Network,SKU12,45270,sec,3621.6,INR,0.0,0.08,2026-01-01,Storage,45270.0,No Credit,Paid Usage,1.3769287880765275,Normal,False,Mapped,,,0.012,43.46,RESERVED
U201,ACCT1038,VM100152,2026-01-04 17:00:00,Network,SKU9,43237,sec,3458.96,INR,0.0,0.08,2026-01-01,Network,43237.0,No Credit,Paid Usage,1.2371362570837439,Normal,False,Mapped,,,0.012,41.51,On-Demand
U651,ACCT1042,VM100031,2026-01-04 17:00:00,Storage,SKU4,9780,sec,782.4,INR,0.0,0.08,2026-01-01,Database,9780.0,No Credit,Paid Usage,-1.0634238557669977,Normal,False,Mapped,,,0.012,9.39,RESERVED
U525,ACCT1091,VM100059,2026-01-04 20:00:00,Compute,SKU6,22583,sec,1806.64,INR,0.0,0.08,2026-01-01,Storage,22583.0,No Credit,Paid Usage,-0.18306784283015198,Normal,False,Mapped,,,0.012,21.68,On-Demand
U823,ACCT1070,VM100145,2026-01-05 05:00:00,Database,SKU17,33973,sec,2717.84,INR,0.0,0.08,2026-01-01,Compute,33973.0,No Credit,Paid Usage,0.6001278915563724,Normal,False,Mapped,,,0.012,32.61,Spot
U1,ACCT1082,VM100058,2026-01-05 06:00:00,DATABASE,SKU8,48698,hrs ,3895.84,INR,0.0,0.08,2026-01-01,Storage,,No Credit,Paid Usage,1.612643887064851,Normal,False,Mapped,,,0.012,46.75,Spot
U641,ACCT1035,VM100093,2026-01-05 10:00:00,Storage,SKU1,20997,sec,1679.76,INR,0.0,0.08,2026-01-01,Network,20997.0,No Credit,Paid Usage,-0.29212389504586994,Normal,False,Mapped,2025-07-01,0.15,0.012,20.16,Spot
U952,ACCT1071,VM100028,2026-01-05 11:00:00,Compute,SKU4,26118,sec,2089.44,INR,100.0,0.08,2026-01-01,Database,26118.0,No Credit,Paid Usage,0.06000475778937073,Normal,False,Mapped,,,0.012,25.07,On-Demand
U249,ACCT1072,VM100286,2026-01-05 11:00:00,Database,SKU1,40011,sec,3200.88,INR,0.0,0.08,2026-01-01,Network,40011.0,No Credit,Paid Usage,1.0153110209879646,Normal,False,Mapped,2025-07-01,0.15,0.012,38.41,On-Demand
U347,ACCT1031,VM100253,2026-01-05 11:00:00,Database,SKU15,23751,sec,1900.08,INR,0.0,0.08,2026-01-01,Storage,23751.0,No Credit,Paid Usage,-0.10275418016435213,Normal,False,Mapped,,,0.012,22.8,On-Demand
U111,ACCT1080,VM100274,2026-01-05 14:00:00,Compute,SKU3,25922,sec,2073.76,INR,0.0,0.08,2026-01-01,Compute,25922.0,No Credit,Paid Usage,0.04652746508175362,Normal,False,Mapped,2025-05-01,0.35,0.012,24.89,On-Demand
U3,ACCT1055,VM100017,2026-01-06 02:00:00,storage,sku8,6240,Sec,499.2,inr,,0.08,2026-01-01,storage,,No Credit,Paid Usage,-1.3068402648739597,Normal,False,Mapped,,,,,On-Demand
U387,ACCT1088,VM100125,2026-01-06 09:00:00,Compute,SKU7,37623,sec,3009.84,INR,0.0,0.08,2026-01-01,Network,37623.0,No Credit,Paid Usage,0.851108087386997,Normal,False,Mapped,,,0.012,36.12,Spot
U154,ACCT1061,VM100150,2026-01-06 13:00:00,Database,SKU10,15270,sec,1221.6,INR,0.0,0.08,2026-01-01,STORAGE,15270.0,No Credit,Paid Usage,-0.6859221365587431,Normal,False,Mapped,,,0.012,14.66,Spot
U335,ACCT1087,VM100225,2026-01-06 22:00:00,Compute,SKU8,8372,sec,669.76,INR,0.0,0.08,2026-01-01,Storage,8372.0,No Credit,Paid Usage,-1.1602403258298797,Normal,False,Mapped,,,0.012,8.04,RESERVED
U324,ACCT1061,VM100130,2026-01-07 05:00:00,Storage,SKU10,49467,sec,3957.36,INR,0.0,0.08,2026-01-01,STORAGE,49467.0,No Credit,Paid Usage,1.6655216324330018,Normal,False,Mapped,,,0.012,47.49,RESERVED
U322,ACCT1092,VM100235,2026-01-07 07:00:00,Storage,SKU2,19331,sec,1546.48,INR,0.0,0.08,2026-01-01,Compute,19331.0,No Credit,Paid Usage,-0.40668088306061534,Normal,False,Mapped,2025-06-01,0.25,0.012,18.56,RESERVED
U278,ACCT1060,VM100232,2026-01-07 10:00:00,Database,SKU10,3828,sec,306.24,INR,0.0,0.08,2026-01-01,STORAGE,3828.0,No Credit,Paid Usage,-1.4726934792146353,Normal,False,Mapped,,,0.012,3.67,Spot
U829,ACCT1059,VM100170,2026-01-07 11:00:00,Compute,SKU2,5835,sec,466.8,INR,0.0,0.08,2026-01-01,Compute,5835.0,No Credit,Paid Usage,-1.3346887523565356,Normal,False,Mapped,2025-06-01,0.25,0.012,5.6,On-Demand
U873,ACCT1081,VM100263,2026-01-07 16:00:00,Storage,SKU2,37604,sec,3008.32,INR,0.0,0.08,2026-01-01,Compute,37604.0,No Credit,Paid Usage,0.849801615134728,Normal,False,Mapped,2025-06-01,0.25,0.012,36.1,On-Demand
U283,ACCT1065,VM100089,2026-01-07 16:00:00,Network,SKU15,16336,sec,1306.88,INR,0.0,0.08,2026-01-01,Storage,16336.0,No Credit,Paid Usage,-0.6126221670367031,Normal,False,Mapped,,,0.012,15.68,Spot
U587,ACCT1034,VM100111,2026-01-07 19:00:00,Network,SKU17,4062,sec,324.96,INR,0.0,0.08,2026-01-01,Compute,4062.0,No Credit,Paid Usage,-1.4566032420024801,Normal,False,Mapped,,,0.012,3.9,On-Demand
U216,ACCT1015,VM100072,2026-01-08 17:00:00,Database,SKU16,2538,sec,203.04,INR,100.0,0.08,2026-01-01,Network,2538.0,No Credit,Paid Usage,-1.561396068973952,Normal,False,Mapped,,,0.012,2.44,RESERVED
U259,ACCT1086,VM100158,2026-01-08 18:00:00,Network,SKU20,14551,sec,1164.08,INR,0.0,0.08,2026-01-01,COMPUTE,14551.0,No Credit,Paid Usage,-0.7353617970525018,Normal,False,Mapped,,,0.012,13.97,RESERVED
U461,ACCT1041,VM100212,2026-01-08 19:00:00,Storage,SKU5,36965,sec,2957.2,INR,0.0,0.08,2026-01-01,Compute,36965.0,No Credit,Paid Usage,0.8058628904399967,Normal,False,Mapped,,,0.012,35.49,RESERVED
U10,ACCT1025,VM100036,2026-01-08 19:00:00,STORAGE,SKU10,43436,sec,3474.88,INR,0.0,0.08,2026-01-01,STORAGE,43436.0,No Credit,Paid Usage,1.2508198348838246,Normal,False,Mapped,,,0.012,41.7,Spot
U606,ACCT1029,VM100265,2026-01-08 20:00:00,Compute,SKU15,26375,sec,2110.0,INR,0.0,0.08,2026-01-01,Storage,26375.0,No Credit,Paid Usage,0.07767651404374622,Normal,False,Mapped,,,0.012,25.32,On-Demand
U564,ACCT1088,VM100025,2026-01-08 20:00:00,Network,SKU1,6625,sec,530.0,INR,0.0,0.08,2026-01-01,Network,6625.0,No Credit,Paid Usage,-1.2803670113411403,Normal,False,Mapped,2025-07-01,0.15,0.012,6.36,On-Demand
U92,ACCT1019,VM100013,2026-01-08 21:00:00,Network,SKU20,16146,sec,1291.68,INR,0.0,0.08,2026-01-01,COMPUTE,16146.0,No Credit,Paid Usage,-0.6256868895593932,Normal,False,Mapped,,,0.012,15.5,Spot
U371,ACCT1075,VM100181,2026-01-09 07:00:00,Database,SKU16,3412,sec,272.96,INR,0.0,0.08,2026-01-01,Network,3412.0,No Credit,Paid Usage,-1.5012983453695778,Normal,False,Mapped,,,0.012,3.28,On-Demand
U673,ACCT1031,VM100050,2026-01-09 11:00:00,Network,SKU5,25849,sec,2067.92,INR,0.0,0.08,2026-01-01,Compute,25849.0,No Credit,Paid Usage,0.04150786116514113,Normal,False,Mapped,,,0.012,24.82,On-Demand
U46,ACCT1071,VM100051,2026-01-09 15:00:00,Compute,SKU3,42838,sec,3427.04,INR,0.0,0.08,2026-01-01,Compute,42838.0,No Credit,Paid Usage,1.2097003397860948,Normal,False,Mapped,2025-05-01,0.35,0.012,41.12,RESERVED
U366,ACCT1019,VM100050,2026-01-09 15:00:00,Network,SKU20,19119,sec,1529.52,INR,0.0,0.08,2026-01-01,COMPUTE,19119.0,No Credit,Paid Usage,-0.4212583629280379,Normal,False,Mapped,,,0.012,18.35,On-Demand
U568,ACCT1048,VM100085,2026-01-09 20:00:00,Database,SKU8,26074,sec,2085.92,INR,100.0,0.08,2026-01-01,Storage,26074.0,No Credit,Paid Usage,0.05697924309990566,Normal,False,Mapped,,,0.012,25.03,RESERVED
U300,ACCT1018,VM100129,2026-01-09 21:00:00,Network,SKU12,42120,sec,3369.6,INR,0.0,0.08,2026-01-01,Storage,42120.0,No Credit,Paid Usage,1.1603294409898242,Normal,False,Mapped,,,0.012,40.44,Spot
U802,ACCT1049,VM100075,2026-01-10 01:00:00,Compute,SKU7,44025,sec,3522.0,INR,0.0,0.08,2026-01-01,Network,44025.0,No Credit,Paid Usage,1.2913204747041638,Normal,False,Mapped,,,0.012,42.26,RESERVED
U486,ACCT1065,VM100178,2026-01-10 03:00:00,Network,SKU8,6501,sec,520.08,INR,0.0,0.08,2026-01-01,Storage,6501.0,No Credit,Paid Usage,-1.2888934618296328,Normal,False,Mapped,,,0.012,6.24,Spot
U729,ACCT1016,VM100241,2026-01-10 03:00:00,Compute,SKU16,41675,sec,3334.0,INR,0.0,0.08,2026-01-01,Network,41675.0,No Credit,Paid Usage,1.1297304856077341,Normal,False,Mapped,,,0.012,40.01,On-Demand
U731,ACCT1039,VM100212,2026-01-10 05:00:00,Storage,SKU7,9981,sec,798.48,INR,0.0,0.08,2026-01-01,Network,9981.0,No Credit,Paid Usage,-1.0496027545719413,Normal,False,Mapped,,,0.012,9.58,RESERVED
U599,ACCT1066,VM100185,2026-01-10 11:00:00,Storage,SKU12,32842,sec,2627.36,INR,0.0,0.08,2026-01-01,Storage,32842.0,No Credit,Paid Usage,0.5223584116976228,Normal,False,Mapped,,,0.012,31.53,RESERVED
U976,ACCT1011,VM100075,2026-01-10 13:00:00,Network,SKU3,17565,sec,1405.2,INR,100.0,0.08,2026-01-01,Compute,17565.0,No Credit,Paid Usage,-0.5281140408241449,Normal,False,Mapped,2025-05-01,0.35,0.012,16.86,RESERVED
U478,ACCT1071,VM100244,2026-01-10 13:00:00,Compute,SKU6,41829,sec,3346.32,INR,0.0,0.08,2026-01-01,Storage,41829.0,No Credit,Paid Usage,1.140319787020862,Normal,False,Mapped,,,0.012,40.16,On-Demand
U642,ACCT1100,VM100144,2026-01-10 23:00:00,Database,SKU19,31012,sec,2480.96,INR,0.0,0.08,2026-01-01,Compute,31012.0,No Credit,Paid Usage,0.3965245052948712,Normal,False,Mapped,,,0.012,29.77,On-Demand
U938,ACCT1013,VM100084,2026-01-11 05:00:00,Database,SKU16,14220,sec,1137.6,INR,0.0,0.08,2026-01-01,Network,14220.0,No Credit,Paid Usage,-0.7581219189209776,Normal,False,Mapped,,,0.012,13.65,Spot
U637,ACCT1071,VM100246,2026-01-11 09:00:00,Database,SKU13,5848,sec,467.84,INR,0.0,0.08,2026-01-01,Storage,5848.0,No Credit,Paid Usage,-1.3337948502891939,Normal,False,Mapped,,,0.012,5.61,RESERVED
U424,ACCT1073,VM100058,2026-01-11 12:00:00,Storage,SKU19,35990,sec,2879.2,INR,100.0,0.08,2026-01-01,Compute,35990.0,No Credit,Paid Usage,0.7388202353893505,Normal,False,Mapped,,,0.012,34.55,Spot
U617,ACCT1010,VM100291,2026-01-11 15:00:00,Storage,SKU8,28607,sec,2288.56,INR,0.0,0.08,2026-01-01,Storage,28607.0,No Credit,Paid Usage,0.23115262283661034,Normal,False,Mapped,,,0.012,27.46,On-Demand
U36,ACCT1032,VM100116,2026-01-11 22:00:00,Compute,SKU19,22256,sec,1780.48,INR,0.0,0.08,2026-01-01,Compute,22256.0,No Credit,Paid Usage,-0.20555291790867644,Normal,False,Mapped,,,0.012,21.37,On-Demand
U914,ACCT1015,VM100133,2026-01-12 12:00:00,Storage,SKU8,25178,sec,2014.24,INR,0.0,0.08,2026-01-01,Storage,25178.0,No Credit,Paid Usage,-0.004631237849201086,Normal,False,Mapped,,,0.012,24.17,On-Demand
U155,ACCT1090,VM100233,2026-01-13 03:00:00,Storage,SKU9,45148,sec,3611.84,INR,0.0,0.08,2026-01-01,Network,45148.0,No Credit,Paid Usage,1.3685398609830106,Normal,False,Mapped,,,0.012,43.34,RESERVED
U157,ACCT1035,VM100073,2026-01-13 04:00:00,Storage,SKU10,4008,sec,320.64,INR,0.0,0.08,2026-01-01,STORAGE,4008.0,No Credit,Paid Usage,-1.4603163736668237,Normal,False,Mapped,,,0.012,3.85,On-Demand
U910,ACCT1014,VM100287,2026-01-13 08:00:00,Database,SKU11,33075,sec,2646.0,INR,0.0,0.08,2026-01-01,Database,33075.0,No Credit,Paid Usage,0.53837988721229,Normal,False,Mapped,,,0.012,31.75,Spot
U375,ACCT1071,VM100148,2026-01-13 13:00:00,Network,SKU18,25419,sec,2033.52,INR,0.0,0.08,2026-01-01,Network,25419.0,No Credit,Paid Usage,0.011940331245368922,Normal,False,Mapped,,,0.012,24.4,On-Demand
U187,ACCT1084,VM100080,2026-01-13 18:00:00,Database,SKU11,30868,sec,2469.44,INR,0.0,0.08,2026-01-01,Database,30868.0,No Credit,Paid Usage,0.3866228208566219,Normal,False,Mapped,,,0.012,29.63,On-Demand
U333,ACCT1082,VM100030,2026-01-13 19:00:00,Network,SKU12,44086,sec,3526.88,INR,0.0,0.08,2026-01-01,Storage,44086.0,No Credit,Paid Usage,1.2955149382509221,Normal,False,Mapped,,,0.012,42.32,RESERVED
U68,ACCT1002,VM100058,2026-01-13 20:00:00,Storage,SKU18,45386,sec,3630.88,INR,0.0,0.08,2026-01-01,Network,45386.0,No Credit,Paid Usage,1.384905144985117,Normal,False,Mapped,,,0.012,43.57,Spot
U558,ACCT1049,VM100232,2026-01-13 21:00:00,Compute,SKU13,41625,sec,3330.0,INR,0.0,0.08,2026-01-01,Storage,41625.0,No Credit,Paid Usage,1.1262924007333421,Normal,False,Mapped,,,0.012,39.96,Spot
U122,ACCT1092,VM100102,2026-01-13 23:00:00,Storage,SKU4,38903,sec,3112.24,INR,0.0,0.08,2026-01-01,Database,38903.0,No Credit,Paid Usage,0.9391230601714352,Normal,False,Mapped,,,0.012,37.35,On-Demand
U270,ACCT1043,VM100087,2026-01-14 00:00:00,Compute,SKU17,33555,sec,2684.4,INR,0.0,0.08,2026-01-01,Compute,33555.0,No Credit,Paid Usage,0.5713855020064543,Normal,False,Mapped,,,0.012,32.21,On-Demand
U475,ACCT1035,VM100204,2026-01-14 11:00:00,Network,SKU15,24548,sec,1963.84,INR,0.0,0.08,2026-01-01,Storage,24548.0,No Credit,Paid Usage,-0.04795110726654177,Normal,False,Mapped,,,0.012,23.57,On-Demand
U590,ACCT1011,VM100159,2026-01-14 11:00:00,Storage,SKU5,33608,sec,2688.64,INR,0.0,0.08,2026-01-01,Compute,33608.0,No Credit,Paid Usage,0.5750298719733099,Normal,False,Mapped,,,0.012,32.26,Spot
U967,ACCT1029,VM100135,2026-01-14 12:00:00,Storage,SKU17,27771,sec,2221.68,INR,0.0,0.08,2026-01-01,Compute,27771.0,No Credit,Paid Usage,0.17366784373677413,Normal,False,Mapped,,,0.012,26.66,Spot
U358,ACCT1006,VM100015,2026-01-14 20:00:00,Database,SKU7,3079,sec,246.32,INR,0.0,0.08,2026-01-01,Network,3079.0,No Credit,Paid Usage,-1.5241959906330294,Normal,False,Mapped,,,0.012,2.96,on_demand
U676,ACCT1022,VM100150,2026-01-14 23:00:00,Compute,SKU10,31135,sec,2490.8,INR,0.0,0.08,2026-01-01,STORAGE,31135.0,No Credit,Paid Usage,0.4049821940858758,Normal,False,Mapped,,,0.012,29.89,Spot
U825,ACCT1042,VM100264,2026-01-15 01:00:00,Storage,SKU18,6388,sec,511.04,INR,0.0,0.08,2026-01-01,Network,6388.0,No Credit,Paid Usage,-1.2966635336457588,Normal,False,Mapped,,,0.012,6.13,Spot
U953,ACCT1034,VM100080,2026-01-15 09:00:00,Network,SKU10,43015,sec,3441.2,INR,0.0,0.08,2026-01-01,STORAGE,43015.0,No Credit,Paid Usage,1.221871160241443,Normal,False,Mapped,,,0.012,41.29,On-Demand
U681,ACCT1097,VM100050,2026-01-15 15:00:00,Database,SKU18,43887,sec,3510.96,INR,0.0,0.08,2026-01-01,Network,43887.0,No Credit,Paid Usage,1.2818313604508416,Normal,False,Mapped,,,0.012,42.13,On-Demand
U689,ACCT1094,VM100035,2026-01-15 20:00:00,Network,SKU18,25534,sec,2042.72,INR,0.0,0.08,2026-01-01,Network,25534.0,No Credit,Paid Usage,0.01984792645647079,Normal,False,Mapped,,,0.012,24.51,On-Demand
U211,ACCT1072,VM100188,2026-01-16 09:00:00,Compute,SKU9,25958,sec,2076.64,INR,0.0,0.08,2026-01-01,Network,25958.0,No Credit,Paid Usage,0.04900288619131595,Normal,False,Mapped,,,0.012,24.92,On-Demand
U21,ACCT1066,VM100253,2026-01-16 12:00:00,Compute,SKU4,49630,sec,3970.4,INR,0.0,0.08,2026-01-01,Database,49630.0,No Credit,Paid Usage,1.6767297891235202,Normal,False,Mapped,,,0.012,47.64,On-Demand
U252,ACCT1019,VM100016,2026-01-16 15:00:00,Storage,SKU13,48997,sec,3919.76,INR,0.0,0.08,2026-01-01,Storage,48997.0,No Credit,Paid Usage,1.633203634613716,Normal,False,Mapped,,,0.012,47.04,Spot
U916,ACCT1032,VM100148,2026-01-16 20:00:00,Database,SKU3,26244,sec,2099.52,INR,0.0,0.08,2026-01-01,Compute,26244.0,No Credit,Paid Usage,0.06866873167283886,Normal,False,Mapped,2025-05-01,0.35,0.012,25.19,On-Demand
U882,ACCT1065,VM100061,2026-01-16 21:00:00,Storage,SKU20,31704,sec,2536.32,INR,0.0,0.08,2026-01-01,COMPUTE,31704.0,No Credit,Paid Usage,0.4441075999564581,Normal,False,Mapped,,,0.012,30.44,On-Demand
U477,ACCT1084,VM100017,2026-01-16 22:00:00,Network,SKU13,26660,sec,2132.8,INR,0.0,0.08,2026-01-01,Storage,26660.0,No Credit,Paid Usage,0.09727359782778128,Normal,False,Mapped,,,0.012,25.59,On-Demand
U286,ACCT1009,VM100169,2026-01-17 03:00:00,Network,SKU10,36666,sec,2933.28,INR,0.0,0.08,2026-01-01,STORAGE,36666.0,No Credit,Paid Usage,0.7853031428911319,Normal,False,Mapped,,,0.012,35.2,On-Demand
U7,ACCT1012,VM100195,2026-01-17 12:00:00,DATABASE,SKU20,23626,sec,1890.08,INR,,0.08,2026-01-01,COMPUTE,23626.0,No Credit,Paid Usage,-0.11134939235033242,Normal,False,Mapped,,,0.012,22.68,On-Demand
U643,ACCT1030,VM100082,2026-01-18 02:00:00,Storage,SKU9,16343,sec,1307.44,INR,0.0,0.08,2026-01-01,Network,16343.0,No Credit,Paid Usage,-0.6121408351542883,Normal,False,Mapped,,,0.012,15.69,RESERVED
U951,ACCT1022,VM100204,2026-01-18 13:00:00,Compute,SKU16,6362,sec,508.96,INR,0.0,0.08,2026-01-01,Network,6362.0,No Credit,Paid Usage,-1.2984513377804427,Normal,False,Mapped,,,0.012,6.11,On-Demand
U863,ACCT1084,VM100166,2026-01-18 14:00:00,Database,SKU9,46220,sec,3697.6,INR,0.0,0.08,2026-01-01,Network,46220.0,No Credit,Paid Usage,1.4422524006899777,Normal,False,Mapped,,,0.012,44.37,RESERVED
U573,ACCT1012,VM100053,2026-01-18 14:00:00,Database,SKU10,20635,sec,1650.8,INR,0.0,0.08,2026-01-01,STORAGE,20635.0,No Credit,Paid Usage,-0.3170156295364689,Normal,False,Mapped,,,0.012,19.81,Spot
U521,ACCT1004,VM100248,2026-01-18 20:00:00,Network,SKU3,19461,sec,1556.88,INR,0.0,0.08,2026-01-01,Compute,19461.0,No Credit,Paid Usage,-0.39774186238719583,Normal,False,Mapped,2025-05-01,0.35,0.012,18.68,RESERVED
U834,ACCT1046,VM100258,2026-01-19 02:00:00,Database,SKU20,19094,sec,1527.52,INR,0.0,0.08,2026-01-01,COMPUTE,19094.0,No Credit,Paid Usage,-0.422977405365234,Normal,False,Mapped,,,0.012,18.33,RESERVED
U493,ACCT1041,VM100185,2026-01-19 04:00:00,Compute,SKU10,6097,sec,487.76,INR,0.0,0.08,2026-01-01,STORAGE,6097.0,No Credit,Paid Usage,-1.316673187614721,Normal,False,Mapped,,,0.012,5.85,RESERVED
U213,ACCT1049,VM100191,2026-01-19 11:00:00,Storage,SKU16,44326,sec,3546.08,INR,0.0,0.08,2026-01-01,Network,44326.0,No Credit,Paid Usage,1.3120177456480042,Normal,False,Mapped,,,0.012,42.55,RESERVED
U620,ACCT1018,VM100300,2026-01-19 14:00:00,Compute,SKU6,10284,sec,822.72,INR,0.0,0.08,2026-01-01,Storage,10284.0,No Credit,Paid Usage,-1.028767960233125,Normal,False,Mapped,,,0.012,9.87,Spot
U764,ACCT1084,VM100086,2026-01-20 07:00:00,Compute,SKU6,8784,sec,702.72,INR,0.0,0.08,2026-01-01,Storage,8784.0,No Credit,Paid Usage,-1.1319105064648887,Normal,False,Mapped,,,0.012,8.43,RESERVED
