Incident_ID,Resource_ID,Open_Time,Close_Time,Severity,Status,Error_Count,SLA_Status
INC5082,VM100223,2026-04-06T19:00:00,2026-04-06T20:07:00,CRITICAL,Closed,2,Met
INC5083,VM100115,2026-05-13T10:00:00,2026-05-13T12:18:00,MEDIUM,Closed,15,Met
INC5084,VM100041,2026-03-17T14:00:00,2026-03-17T16:11:00,CRITICAL,Closed,9,Met
INC5085,VM100128,2026-02-03T21:00:00,2026-02-03T22:36:00,CRITICAL,Closed,9,Met
INC5086,VM100263,2026-05-23T02:00:00,2026-05-23T02:31:00,LOW,Closed,16,Breached
INC5087,VM100292,2026-04-17T03:00:00,2026-04-17T05:18:00,HIGH,Closed,11,Breached
INC5088,VM100258,2026-05-31T02:00:00,2026-05-31T05:36:00,LOW,Closed,3,Breached
INC5089,VM100202,2026-02-16T05:00:00,2026-02-16T08:55:00,LOW,Closed,2,Breached
INC5090,VM100233,2026-03-19T10:00:00,2026-03-19T12:50:00,CRITICAL,Closed,19,Breached
INC5091,VM100095,2026-03-30T05:00:00,2026-03-30T06:14:00,LOW,Closed,19,Breached
INC5092,VM100274,2026-06-23T03:00:00,2026-06-23T05:11:00,LOW,Closed,0,Breached
INC5093,VM100245,2026-01-31T00:00:00,2026-01-31T01:03:00,CRITICAL,Closed,12,Breached
INC5094,VM100185,2026-03-20T19:00:00,2026-03-20T22:48:00,CRITICAL,Closed,9,Met
INC5095,VM100098,2026-02-03T04:00:00,2026-02-03T04:23:00,LOW,Closed,0,Met
INC5096,VM100075,2026-01-08T06:00:00,2026-01-08T08:23:00,MEDIUM,Closed,13,Met
INC5097,VM100238,2026-01-24T09:00:00,2026-01-24T12:37:00,MEDIUM,Closed,15,Breached
INC5098,VM100079,2026-01-07T03:00:00,2026-01-07T04:02:00,CRITICAL,Closed,15,Breached
INC5099,VM100125,2026-01-07T14:00:00,2026-01-07T16:49:00,MEDIUM,Closed,9,Breached
INC5100,VM100053,2026-01-15T10:00:00,2026-01-15T10:22:00,CRITICAL,Closed,13,Breached
INC5002,VM100181,2026-05-08T18:00:00,2026-05-08T19:56:00, HIGH , Closed ,10,Met
