Account,Customer_ID,Department,Project,Revenue,Discount,Subscription_Status,Last_Login
ACCT1049,CUST2049,Sales,PRJ-120,68258,1,Cancelled,2026-06-30
ACCT1050,CUST2050,Sales,PRJ-129,75579,7,Active,2026-06-30
ACCT1051,CUST2051,Sales,PRJ-101,67371,20,Cancelled,2026-06-30
ACCT1052,CUST2052,IT,PRJ-122,39383,8,Cancelled,2026-06-30
ACCT1053,CUST2053,Sales,PRJ-130,39315,8,Active,2026-06-30
ACCT1054,CUST2054,R&D,PRJ-118,41158,0,Active,2026-06-30
ACCT1055,CUST2055,IT,PRJ-120,70377,12,Cancelled,2026-06-30
ACCT1056,CUST2056,R&D,PRJ-128,30531,16,Active,2026-06-30
ACCT1057,CUST2057,Sales,PRJ-105,75950,8,Cancelled,2026-06-30
ACCT1058,CUST2058,HR,PRJ-116,89887,12,Cancelled,2026-06-30
ACCT1059,CUST2059,HR,PRJ-123,73950,2,Active,2026-06-30
ACCT1060,CUST2060,R&D,PRJ-124,65140,4,Trial,2026-06-30
ACCT1061,CUST2061,Finance,PRJ-129,72162,9,Active,2026-06-30
ACCT1062,CUST2062,Finance,PRJ-126,84451,0,Active,2026-06-30
ACCT1063,CUST2063,IT,PRJ-124,74767,16,Trial,2026-06-30
ACCT1064,CUST2064,HR,PRJ-123,76485,5,Active,2026-06-30
ACCT1065,CUST2065,HR,PRJ-105,37607,6,Trial,2026-06-30
ACCT1066,CUST2066,Finance,PRJ-116,34449,14,Cancelled,2026-06-30
ACCT1067,CUST2067,Finance,PRJ-105,46337,1,Cancelled,2026-06-30
ACCT1068,CUST2068,Finance,PRJ-125,45150,8,Trial,2026-06-30
ACCT1069,CUST2069,Sales,PRJ-120,34312,20,Active,2026-06-30
ACCT1070,CUST2070,IT,PRJ-109,31233,12,Active,2026-06-30
ACCT1071,CUST2071,HR,PRJ-102,64846,0,Cancelled,2026-06-30
ACCT1072,CUST2072,Finance,PRJ-115,83595,3,Active,2026-06-30
ACCT1073,CUST2073,IT,PRJ-108,20947,18,Active,2026-06-30
ACCT1074,CUST2074,IT,PRJ-106,88463,0,Trial,2026-06-30
ACCT1075,CUST2075,R&D,PRJ-116,54843,15,Trial,2026-06-30
ACCT1076,CUST2076,HR,PRJ-119,76289,10,Trial,2026-06-30
ACCT1077,CUST2077,HR,PRJ-110,51404,11,Cancelled,2026-06-30
ACCT1078,CUST2078,Sales,PRJ-112,27502,11,Trial,2026-06-30
ACCT1079,CUST2079,IT,PRJ-100,79889,12,Cancelled,2026-06-30
ACCT1080,CUST2080,Finance,PRJ-100,98893,3,Cancelled,2026-06-30
ACCT1081,CUST2081,HR,PRJ-130,52576,11,Trial,2026-06-30
ACCT1082,CUST2082,R&D,PRJ-121,82285,16,Trial,2026-06-30
ACCT1083,CUST2083,Finance,PRJ-100,62229,0,Cancelled,2026-06-30
ACCT1084,CUST2084,HR,PRJ-127,25997,10,Cancelled,2026-06-30
ACCT1085,CUST2085,Sales,PRJ-107,99529,15,Trial,2026-06-30
ACCT1086,CUST2086,R&D,PRJ-125,30665,11,Trial,2026-06-30
ACCT1087,CUST2087,Sales,PRJ-121,33166,12,Trial,2026-06-30
ACCT1088,CUST2088,R&D,PRJ-106,38764,16,Cancelled,2026-06-30
ACCT1089,CUST2089,R&D,PRJ-101,36759,15,Active,2026-06-30
ACCT1090,CUST2090,HR,PRJ-126,91925,14,Active,2026-06-30
ACCT1091,CUST2091,Sales,PRJ-130,35162,15,Cancelled,2026-06-30
ACCT1092,CUST2092,R&D,PRJ-107,51897,6,Active,2026-06-30
ACCT1093,CUST2093,IT,PRJ-103,77002,0,Active,2026-06-30
ACCT1094,CUST2094,HR,PRJ-128,70264,8,Active,2026-06-30
ACCT1095,CUST2095,HR,PRJ-121,82429,3,Cancelled,2026-06-30
ACCT1096,CUST2096,Finance,PRJ-129,90063,20,Cancelled,2026-06-30
ACCT1097,CUST2097,Sales,PRJ-102,63620,7,Cancelled,2026-06-30
ACCT1098,CUST2098,R&D,PRJ-102,64987,12,Cancelled,2026-06-30
ACCT1099,CUST2099,Sales,PRJ-120,93649,13,Active,2026-06-30
ACCT1100,CUST2100,Finance,PRJ-108,35163,9,Active,2026-06-30
 ACCT1002 ,CUST2002,Sales,PRJ-116,34114,10,Trial,2026-06-30
