Resource_ID,Account,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status
VM100057,ACCT1025,ap-south-1,Alice,QA,2,39,57,ON_DEMAND,Running
VM100058,ACCT1096,us-east-1,Bob,Dev,9,27,61,SPOT,Running
VM100059,ACCT1063,us-east-1,Charlie,QA,32,59,56,ON_DEMAND,Running
VM100060,ACCT1078,us-east-1,David,Prod,41,55,83,SPOT,Running
VM100061,ACCT1074,us-east-1,Alice,Prod,14,62,63,ON_DEMAND,Running
VM100062,ACCT1032,us-east-1,David,Prod,6,76,54,SPOT,Running
VM100063,ACCT1098,us-east-1,Alice,Dev,38,61,55,RESERVED,Running
VM100064,ACCT1100,eu-west-1,David,Dev,55,42,83,ON_DEMAND,Running
VM100065,ACCT1089,us-east-1,Bob,QA,83,62,16,SPOT,Running
VM100066,ACCT1065,ap-south-1,Bob,Prod,90,74,22,RESERVED,Running
VM100067,ACCT1053,eu-west-1,David,Dev,23,63,80,SPOT,Running
VM100068,ACCT1026,eu-west-1,Alice,QA,42,93,88,SPOT,Running
VM100069,ACCT1021,us-east-1,Alice,Dev,15,95,62,SPOT,Running
VM100070,ACCT1047,ap-south-1,David,Prod,66,83,25,RESERVED,Running
VM100071,ACCT1071,eu-west-1,Alice,Dev,43,77,89,ON_DEMAND,Running
VM100072,ACCT1021,ap-south-1,Bob,Prod,7,58,44,RESERVED,Running
VM100073,ACCT1094,eu-west-1,Charlie,Prod,24,20,21,ON_DEMAND,Running
VM100074,ACCT1001,us-east-1,Charlie,Dev,59,68,68,SPOT,Running
VM100075,ACCT1001,us-east-1,David,Dev,28,80,89,RESERVED,Running
VM100076,ACCT1059,eu-west-1,David,Dev,77,81,5,ON_DEMAND,Running
VM100077,ACCT1071,eu-west-1,Bob,Dev,24,23,12,SPOT,Running
VM100078,ACCT1045,ap-south-1,Bob,Dev,86,78,82,RESERVED,Running
VM100079,ACCT1043,ap-south-1,Alice,Dev,54,27,25,SPOT,Running
VM100080,ACCT1037,us-east-1,Bob,QA,75,51,9,ON_DEMAND,Running
VM100081,ACCT1099,eu-west-1,Charlie,QA,49,13,59,SPOT,Running
VM100082,ACCT1009,eu-west-1,David,Dev,16,93,40,RESERVED,Running
VM100083,ACCT1068,eu-west-1,Bob,Prod,27,83,12,ON_DEMAND,Running
VM100084,ACCT1074,us-east-1,Alice,QA,93,93,82,SPOT,Running
VM100085,ACCT1037,eu-west-1,Charlie,QA,68,78,84,RESERVED,Running
VM100086,ACCT1017,us-east-1,David,Prod,94,85,68,RESERVED,Running
VM100087,ACCT1024,us-east-1,Bob,Prod,38,29,5,ON_DEMAND,Running
VM100088,ACCT1004,eu-west-1,Alice,Prod,27,83,58,RESERVED,Running
VM100089,ACCT1006,eu-west-1,Charlie,Prod,82,32,6,SPOT,Running
VM100090,ACCT1026,us-east-1,Charlie,QA,9,44,43,SPOT,Running
VM100091,ACCT1071,eu-west-1,Alice,Dev,88,47,48,RESERVED,Running
VM100092,ACCT1093,us-east-1,Alice,Dev,25,47,48,SPOT,Running
VM100093,ACCT1062,eu-west-1,Alice,Prod,18,66,24,SPOT,Running
VM100094,ACCT1059,us-east-1,Charlie,QA,53,12,71,RESERVED,Running
VM100095,ACCT1073,us-east-1,Charlie,Prod,69,7,31,SPOT,Running
VM100096,ACCT1088,eu-west-1,Charlie,Dev,20,40,8,RESERVED,Running
VM100097,ACCT1049,us-east-1,Bob,Prod,78,54,28,SPOT,Running
VM100098,ACCT1015,eu-west-1,Charlie,Prod,5,39,57,ON_DEMAND,Running
VM100099,ACCT1064,ap-south-1,Charlie,QA,39,32,72,RESERVED,Running
VM100100,ACCT1023,ap-south-1,Charlie,Dev,26,16,61,SPOT,Running
VM100101,ACCT1004,eu-west-1,Bob,Dev,44,66,72,RESERVED,Running
VM100102,ACCT1100,eu-west-1,Bob,Dev,67,91,21,ON_DEMAND,Running
VM100103,ACCT1093,ap-south-1,David,QA,92,71,19,ON_DEMAND,Running
VM100104,ACCT1040,ap-south-1,Alice,QA,60,10,18,SPOT,Running
VM100105,ACCT1099,us-east-1,Charlie,Dev,74,44,86,ON_DEMAND,Running
VM100106,ACCT1042,ap-south-1,Bob,QA,36,73,45,RESERVED,Running
VM100107,ACCT1086,ap-south-1,Charlie,Dev,21,40,19,ON_DEMAND,Running
VM100108,ACCT1080,us-east-1,Alice,Dev,70,49,75,RESERVED,Running
VM100109,ACCT1035,ap-south-1,Charlie,Prod,32,26,14,RESERVED,Running
VM100110,ACCT1079,eu-west-1,David,Dev,17,8,65,SPOT,Running
VM100111,ACCT1007,ap-south-1,David,Dev,12,59,55,ON_DEMAND,Running
VM100112,ACCT1091,us-east-1,David,Prod,46,44,47,ON_DEMAND,Running
VM100113,ACCT1092,us-east-1,Alice,QA,73,21,16,SPOT,Running
VM100114,ACCT1060,ap-south-1,David,QA,88,87,95,RESERVED,Running
VM100115,ACCT1061,ap-south-1,Bob,Dev,79,38,51,RESERVED,Running
VM100116,ACCT1024,us-east-1,Charlie,QA,59,67,8,ON_DEMAND,Running
VM100117,ACCT1061,ap-south-1,Charlie,QA,60,26,41,RESERVED,Running
VM100118,ACCT1078,us-east-1,Bob,Prod,14,56,18,RESERVED,Running
VM100119,ACCT1072,us-east-1,Alice,QA,69,64,56,SPOT,Running
VM100120,ACCT1053,ap-south-1,Bob,Prod,21,66,54,ON_DEMAND,Running
VM100121,ACCT1044,ap-south-1,David,QA,73,48,74,SPOT,Running
VM100122,ACCT1031,ap-south-1,Alice,Prod,92,78,67,ON_DEMAND,Running
VM100123,ACCT1076,us-east-1,David,QA,72,17,61,ON_DEMAND,Running
VM100124,ACCT1040,eu-west-1,Alice,Prod,14,92,81,RESERVED,Running
VM100125,ACCT1042,eu-west-1,Alice,Dev,28,22,79,SPOT,Running
VM100126,ACCT1001,ap-south-1,Bob,QA,69,42,54,SPOT,Running
VM100127,ACCT1074,eu-west-1,Bob,Dev,88,45,43,SPOT,Running
VM100128,ACCT1087,eu-west-1,David,Prod,45,16,79,ON_DEMAND,Running
VM100129,ACCT1079,us-east-1,David,Dev,38,12,52,SPOT,Running
VM100130,ACCT1007,ap-south-1,Charlie,Dev,37,8,35,RESERVED,Running
VM100131,ACCT1090,us-east-1,David,Prod,41,53,56,RESERVED,Running
VM100132,ACCT1056,us-east-1,Bob,Prod,23,65,22,ON_DEMAND,Running
VM100133,ACCT1072,eu-west-1,Charlie,QA,20,41,90,ON_DEMAND,Running
VM100134,ACCT1018,ap-south-1,Alice,Prod,3,23,67,SPOT,Running
VM100135,ACCT1056,ap-south-1,Alice,Dev,83,58,63,SPOT,Running
VM100136,ACCT1078,eu-west-1,Bob,QA,66,59,75,RESERVED,Running
VM100137,ACCT1050,eu-west-1,Bob,Dev,55,82,5,SPOT,Running
VM100138,ACCT1064,us-east-1,Bob,Prod,65,39,57,SPOT,Running
VM100139,ACCT1074,eu-west-1,Alice,Dev,73,66,95,RESERVED,Running
VM100140,ACCT1015,us-east-1,David,Prod,11,23,72,RESERVED,Running
VM100141,ACCT1060,us-east-1,Alice,Prod,79,16,36,RESERVED,Running
VM100142,ACCT1081,us-east-1,Alice,Prod,82,74,79,RESERVED,Running
VM100143,ACCT1079,ap-south-1,Charlie,Prod,2,65,63,SPOT,Running
VM100144,ACCT1061,us-east-1,Charlie,QA,46,42,42,ON_DEMAND,Running
VM100145,ACCT1005,us-east-1,Charlie,Prod,73,38,12,SPOT,Running
VM100146,ACCT1061,us-east-1,Bob,Prod,7,89,42,SPOT,Running
VM100147,ACCT1080,ap-south-1,Charlie,QA,11,21,69,ON_DEMAND,Running
VM100148,ACCT1036,eu-west-1,Bob,Prod,36,40,37,ON_DEMAND,Running
VM100149,ACCT1095,ap-south-1,Bob,Prod,95,24,89,RESERVED,Running
VM100150,ACCT1048,ap-south-1,Charlie,Prod,31,67,28,SPOT,Running
VM100151,ACCT1005,eu-west-1,Alice,Dev,77,24,68,RESERVED,Running
VM100152,ACCT1099,eu-west-1,Bob,Prod,57,86,26,ON_DEMAND,Running
VM100153,ACCT1074,us-east-1,Charlie,Dev,83,38,19,ON_DEMAND,Running
VM100154,ACCT1022,eu-west-1,David,QA,39,65,73,ON_DEMAND,Running
VM100155,ACCT1049,us-east-1,David,QA,34,23,72,RESERVED,Running
VM100156,ACCT1002,eu-west-1,David,QA,87,45,72,SPOT,Running
VM100157,ACCT1006,ap-south-1,Charlie,QA,79,88,39,RESERVED,Running
VM100158,ACCT1035,eu-west-1,Alice,QA,84,79,55,RESERVED,Running
VM100159,ACCT1099,us-east-1,Bob,Prod,87,80,29,SPOT,Running
VM100160,ACCT1044,us-east-1,Bob,QA,71,6,91,ON_DEMAND,Running
VM100161,ACCT1009,ap-south-1,David,Dev,68,18,92,RESERVED,Running
VM100162,ACCT1045,ap-south-1,Charlie,QA,25,9,8,SPOT,Running
VM100163,ACCT1012,ap-south-1,Bob,Prod,82,20,95,ON_DEMAND,Running
VM100164,ACCT1012,us-east-1,Bob,QA,85,87,77,ON_DEMAND,Running
VM100165,ACCT1015,us-east-1,Bob,QA,38,64,89,ON_DEMAND,Running
VM100166,ACCT1082,eu-west-1,Charlie,QA,89,90,46,RESERVED,Running
VM100167,ACCT1021,ap-south-1,Charlie,Dev,49,54,47,ON_DEMAND,Running
VM100168,ACCT1034,eu-west-1,Bob,QA,9,67,30,SPOT,Running
VM100169,ACCT1051,ap-south-1,David,Dev,19,74,60,ON_DEMAND,Running
VM100170,ACCT1079,us-east-1,Alice,QA,92,38,18,ON_DEMAND,Running
VM100171,ACCT1010,ap-south-1,Charlie,QA,3,68,24,SPOT,Running
VM100172,ACCT1082,ap-south-1,Alice,Prod,50,39,24,SPOT,Running
VM100173,ACCT1043,eu-west-1,Alice,Prod,91,67,66,RESERVED,Running
VM100174,ACCT1052,us-east-1,Alice,Prod,29,5,54,SPOT,Running
VM100175,ACCT1100,eu-west-1,Alice,Prod,69,50,47,SPOT,Running
VM100176,ACCT1039,eu-west-1,Alice,Prod,83,16,51,SPOT,Running
VM100177,ACCT1044,ap-south-1,David,QA,83,30,27,SPOT,Running
VM100178,ACCT1006,eu-west-1,Bob,QA,90,54,18,SPOT,Running
VM100179,ACCT1089,eu-west-1,David,Dev,81,61,29,ON_DEMAND,Running
VM100180,ACCT1005,ap-south-1,Alice,Prod,76,35,67,RESERVED,Running
VM100181,ACCT1009,us-east-1,Charlie,QA,69,62,7,ON_DEMAND,Running
VM100182,ACCT1044,ap-south-1,Charlie,Prod,6,56,20,ON_DEMAND,Running
VM100183,ACCT1084,us-east-1,David,Prod,69,24,79,ON_DEMAND,Running
VM100184,ACCT1010,ap-south-1,Bob,QA,84,7,65,SPOT,Running
VM100185,ACCT1006,ap-south-1,Bob,Dev,23,85,11,RESERVED,Running
VM100186,ACCT1013,eu-west-1,Bob,Prod,9,18,19,RESERVED,Running
VM100187,ACCT1077,us-east-1,Bob,Dev,26,59,48,SPOT,Running
VM100188,ACCT1087,eu-west-1,Charlie,Dev,88,78,74,ON_DEMAND,Running
VM100189,ACCT1042,ap-south-1,Alice,Prod,23,47,13,ON_DEMAND,Running
VM100190,ACCT1036,ap-south-1,David,Dev,90,52,75,ON_DEMAND,Running
VM100191,ACCT1057,ap-south-1,Alice,Dev,13,85,83,RESERVED,Running
VM100192,ACCT1100,ap-south-1,Alice,QA,11,5,5,ON_DEMAND,Running
VM100193,ACCT1012,us-east-1,Charlie,QA,89,65,93,ON_DEMAND,Running
VM100194,ACCT1027,ap-south-1,Charlie,Prod,58,57,35,ON_DEMAND,Running
VM100195,ACCT1079,us-east-1,Alice,Prod,24,68,83,ON_DEMAND,Running
VM100196,ACCT1081,eu-west-1,Charlie,QA,1,76,35,ON_DEMAND,Running
VM100197,ACCT1016,us-east-1,Alice,Prod,47,74,69,ON_DEMAND,Running
VM100198,ACCT1060,us-east-1,Bob,QA,7,29,19,ON_DEMAND,Running
VM100199,ACCT1088,eu-west-1,David,Dev,21,90,10,ON_DEMAND,Running
VM100200,ACCT1083,eu-west-1,Charlie,Dev,56,37,47,SPOT,Running
VM100201,ACCT1098,eu-west-1,Alice,Dev,95,11,73,ON_DEMAND,Running
VM100202,ACCT1021,ap-south-1,David,Prod,15,14,35,SPOT,Running
VM100203,ACCT1057,us-east-1,Charlie,QA,26,91,46,ON_DEMAND,Running
VM100204,ACCT1100,ap-south-1,Charlie,Dev,13,35,57,ON_DEMAND,Running
VM100205,ACCT1049,ap-south-1,Alice,QA,75,67,11,RESERVED,Running
VM100206,ACCT1019,ap-south-1,David,Dev,50,52,22,RESERVED,Running
VM100207,ACCT1093,ap-south-1,Charlie,QA,26,47,21,ON_DEMAND,Running
VM100208,ACCT1089,us-east-1,Alice,QA,18,19,64,RESERVED,Running
VM100209,ACCT1054,ap-south-1,Charlie,Dev,38,82,25,SPOT,Running
VM100210,ACCT1079,ap-south-1,Bob,Dev,53,71,67,ON_DEMAND,Running
VM100211,ACCT1076,eu-west-1,David,QA,2,59,36,ON_DEMAND,Running
VM100212,ACCT1042,eu-west-1,Bob,Prod,20,78,5,RESERVED,Running
VM100213,ACCT1006,ap-south-1,David,Prod,65,9,59,SPOT,Running
VM100214,ACCT1051,eu-west-1,Alice,QA,64,35,15,SPOT,Running
VM100215,ACCT1097,ap-south-1,David,Dev,17,50,42,ON_DEMAND,Running
VM100216,ACCT1083,ap-south-1,Alice,QA,86,44,25,SPOT,Running
VM100217,ACCT1059,us-east-1,Alice,QA,60,22,95,RESERVED,Running
VM100218,ACCT1024,eu-west-1,David,Prod,82,5,85,ON_DEMAND,Running
VM100219,ACCT1050,us-east-1,Charlie,Prod,5,42,59,RESERVED,Running
VM100220,ACCT1090,us-east-1,Bob,Prod,11,84,47,SPOT,Running
VM100221,ACCT1008,us-east-1,Charlie,Dev,15,54,51,RESERVED,Running
VM100222,ACCT1080,ap-south-1,Charlie,QA,23,87,76,SPOT,Running
VM100223,ACCT1009,us-east-1,Bob,Dev,43,35,74,ON_DEMAND,Running
VM100224,ACCT1084,eu-west-1,Bob,Prod,29,46,50,RESERVED,Running
VM100225,ACCT1065,us-east-1,David,QA,7,13,52,RESERVED,Running
VM100226,ACCT1058,eu-west-1,Alice,QA,91,73,91,SPOT,Running
VM100227,ACCT1038,eu-west-1,Charlie,Prod,89,13,29,RESERVED,Running
VM100228,ACCT1012,ap-south-1,David,Dev,37,14,18,ON_DEMAND,Running
VM100229,ACCT1036,ap-south-1,Bob,QA,20,31,71,SPOT,Running
VM100230,ACCT1003,eu-west-1,David,Prod,70,21,65,RESERVED,Running
VM100231,ACCT1054,eu-west-1,Alice,QA,25,13,7,ON_DEMAND,Running
VM100232,ACCT1067,us-east-1,Charlie,QA,75,48,88,SPOT,Running
VM100233,ACCT1042,eu-west-1,David,QA,39,77,21,RESERVED,Running
VM100234,ACCT1022,eu-west-1,Bob,QA,48,41,11,ON_DEMAND,Running
VM100235,ACCT1046,eu-west-1,David,Dev,80,25,73,RESERVED,Running
VM100236,ACCT1024,ap-south-1,Bob,Dev,31,19,10,RESERVED,Running
VM100237,ACCT1074,ap-south-1,David,QA,48,28,31,SPOT,Running
VM100238,ACCT1091,ap-south-1,Charlie,QA,19,52,62,SPOT,Running
VM100239,ACCT1021,us-east-1,Charlie,Dev,4,56,68,ON_DEMAND,Running
VM100240,ACCT1059,eu-west-1,Bob,Dev,95,74,69,RESERVED,Running
VM100241,ACCT1083,us-east-1,Charlie,QA,38,78,90,ON_DEMAND,Running
VM100242,ACCT1073,us-east-1,David,QA,89,19,66,ON_DEMAND,Running
VM100243,ACCT1018,us-east-1,Alice,QA,4,56,84,ON_DEMAND,Running
VM100244,ACCT1058,eu-west-1,Alice,QA,8,82,87,ON_DEMAND,Running
VM100245,ACCT1075,us-east-1,Bob,QA,26,7,15,SPOT,Running
VM100246,ACCT1058,us-east-1,Alice,Prod,51,29,67,RESERVED,Running
VM100247,ACCT1078,us-east-1,Alice,Prod,47,55,23,SPOT,Running
VM100248,ACCT1055,eu-west-1,David,QA,2,41,49,RESERVED,Running
VM100249,ACCT1040,eu-west-1,Alice,Dev,94,61,58,RESERVED,Running
VM100250,ACCT1037,ap-south-1,David,Prod,54,22,80,SPOT,Running
VM100251,ACCT1012,ap-south-1,Bob,QA,61,72,47,ON_DEMAND,Running
VM100252,ACCT1076,eu-west-1,Alice,Dev,53,86,39,RESERVED,Running
VM100253,ACCT1023,us-east-1,David,Prod,73,22,30,ON_DEMAND,Running
VM100254,ACCT1049,eu-west-1,David,Dev,39,79,43,RESERVED,Running
VM100255,ACCT1072,us-east-1,David,Dev,4,5,24,RESERVED,Running
VM100256,ACCT1039,us-east-1,David,Dev,84,90,41,RESERVED,Running
VM100257,ACCT1023,eu-west-1,Bob,Dev,16,40,68,ON_DEMAND,Running
VM100258,ACCT1077,us-east-1,Charlie,Prod,62,77,60,RESERVED,Running
VM100259,ACCT1081,us-east-1,David,Prod,16,52,70,SPOT,Running
VM100260,ACCT1074,ap-south-1,Charlie,Dev,75,12,23,RESERVED,Running
VM100261,ACCT1060,us-east-1,Bob,QA,21,11,39,RESERVED,Running
VM100262,ACCT1054,us-east-1,Charlie,Dev,38,42,72,SPOT,Running
VM100263,ACCT1010,us-east-1,Bob,Prod,24,17,81,ON_DEMAND,Running
VM100264,ACCT1070,eu-west-1,Charlie,Prod,39,39,92,SPOT,Running
VM100265,ACCT1089,eu-west-1,Alice,Prod,75,50,23,ON_DEMAND,Running
VM100266,ACCT1018,us-east-1,Charlie,QA,63,57,48,ON_DEMAND,Running
VM100267,ACCT1014,ap-south-1,Bob,Prod,29,29,76,SPOT,Running
VM100268,ACCT1089,us-east-1,Alice,QA,59,14,19,ON_DEMAND,Running
VM100269,ACCT1003,eu-west-1,Charlie,QA,89,51,22,RESERVED,Running
VM100270,ACCT1077,us-east-1,Charlie,Dev,91,43,8,SPOT,Running
VM100271,ACCT1016,ap-south-1,Bob,Prod,19,93,34,RESERVED,Running
VM100272,ACCT1017,ap-south-1,Bob,Dev,55,93,19,ON_DEMAND,Running
VM100273,ACCT1003,eu-west-1,David,Dev,26,18,9,SPOT,Running
VM100274,ACCT1066,us-east-1,Alice,QA,16,37,10,ON_DEMAND,Running
VM100275,ACCT1039,us-east-1,Alice,Dev,16,82,31,SPOT,Running
VM100276,ACCT1026,ap-south-1,Charlie,Dev,12,23,40,SPOT,Running
VM100277,ACCT1045,eu-west-1,Bob,Prod,94,83,35,SPOT,Running
VM100278,ACCT1073,ap-south-1,Alice,Prod,2,72,32,SPOT,Running
VM100279,ACCT1025,eu-west-1,Bob,Prod,1,17,32,SPOT,Running
VM100280,ACCT1091,eu-west-1,Charlie,Prod,76,28,61,SPOT,Running
VM100281,ACCT1014,ap-south-1,Charlie,QA,55,32,70,ON_DEMAND,Running
VM100282,ACCT1053,ap-south-1,Charlie,Dev,60,19,71,ON_DEMAND,Running
VM100283,ACCT1064,eu-west-1,Charlie,Prod,93,10,15,RESERVED,Running
VM100284,ACCT1064,ap-south-1,David,QA,59,81,44,SPOT,Running
VM100285,ACCT1057,ap-south-1,David,QA,55,29,13,RESERVED,Running
VM100286,ACCT1087,eu-west-1,Bob,Dev,87,67,91,ON_DEMAND,Running
VM100287,ACCT1051,eu-west-1,Alice,Dev,19,55,56,SPOT,Running
VM100288,ACCT1076,ap-south-1,Bob,Dev,47,30,48,ON_DEMAND,Running
VM100289,ACCT1077,eu-west-1,Alice,Dev,55,68,40,SPOT,Running
VM100290,ACCT1099,us-east-1,Charlie,Prod,52,50,65,SPOT,Running
VM100291,ACCT1078,eu-west-1,David,Prod,36,23,63,ON_DEMAND,Running
VM100292,ACCT1016,eu-west-1,David,QA,30,85,22,ON_DEMAND,Running
VM100293,ACCT1013,us-east-1,Alice,Dev,64,91,8,ON_DEMAND,Running
VM100294,ACCT1049,us-east-1,Charlie,Dev,39,84,84,ON_DEMAND,Running
VM100295,ACCT1098,ap-south-1,David,QA,26,42,89,RESERVED,Running
VM100296,ACCT1063,us-east-1,Charlie,Prod,44,74,74,ON_DEMAND,Running
VM100297,ACCT1098,ap-south-1,David,Dev,50,62,45,RESERVED,Running
VM100298,ACCT1057,eu-west-1,Alice,Dev,23,76,89,RESERVED,Running
VM100299,ACCT1091,ap-south-1,David,QA,18,44,54,RESERVED,Running
VM100300,ACCT1098,ap-south-1,David,Prod,71,92,74,SPOT,Running
VM100002, ACCT1085 , ap-south-1 , Alice , Dev ,120,-5,150, ON_DEMAND , Running 
