Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date
U25,ACCT1097,VM100137,2026-05-12T04:00:00,Database,SKU4,42106,sec,3368.48,INR,0.0,0.08,2026-01-01
U26,ACCT1038,VM100223,2026-01-27T23:00:00,Compute,SKU9,29835,sec,2386.8,INR,0.0,0.08,2026-01-01
U27,ACCT1065,VM100092,2026-03-28T15:00:00,Database,SKU17,7073,sec,565.84,INR,0.0,0.08,2026-01-01
U28,ACCT1078,VM100102,2026-01-27T02:00:00,Storage,SKU18,24604,sec,1968.32,INR,0.0,0.08,2026-01-01
U29,ACCT1100,VM100272,2026-06-06T18:00:00,Database,SKU16,137,sec,10.96,INR,0.0,0.08,2026-01-01
U30,ACCT1003,VM100058,2026-06-08T13:00:00,Database,SKU8,23888,sec,1911.04,INR,0.0,0.08,2026-01-01
U31,ACCT1008,VM100124,2026-05-30T20:00:00,Compute,SKU3,37282,sec,2982.56,INR,0.0,0.08,2026-01-01
U32,ACCT1094,VM100249,2026-05-20T06:00:00,Storage,SKU5,4635,sec,370.8,INR,100.0,0.08,2026-01-01
U33,ACCT1085,VM100244,2026-06-11T14:00:00,Storage,SKU9,36131,sec,2890.48,INR,0.0,0.08,2026-01-01
U34,ACCT1068,VM100217,2026-06-14T14:00:00,Storage,SKU10,13980,sec,1118.4,INR,0.0,0.08,2026-01-01
U35,ACCT1052,VM100192,2026-03-16T18:00:00,Network,SKU4,34019,sec,2721.52,INR,0.0,0.08,2026-01-01
U36,ACCT1032,VM100116,2026-01-11T22:00:00,Compute,SKU19,22256,sec,1780.48,INR,0.0,0.08,2026-01-01
U37,ACCT1071,VM100118,2026-04-11T10:00:00,Compute,SKU3,14532,sec,1162.56,INR,0.0,0.08,2026-01-01
U38,ACCT1091,VM100031,2026-02-09T01:00:00,Compute,SKU11,4517,sec,361.36,INR,0.0,0.08,2026-01-01
U39,ACCT1010,VM100264,2026-02-10T14:00:00,Network,SKU7,18350,sec,1468,INR,0.0,0.08,2026-01-01
U40,ACCT1070,VM100068,2026-05-04T10:00:00,Network,SKU8,37523,sec,3001.84,INR,100.0,0.08,2026-01-01
U41,ACCT1061,VM100209,2026-02-02T11:00:00,Compute,SKU14,6281,sec,502.48,INR,0.0,0.08,2026-01-01
U42,ACCT1046,VM100217,2026-03-12T03:00:00,Compute,SKU4,30706,sec,2456.48,INR,0.0,0.08,2026-01-01
U43,ACCT1008,VM100207,2026-05-05T06:00:00,Compute,SKU8,22336,sec,1786.88,INR,0.0,0.08,2026-01-01
U44,ACCT1025,VM100098,2026-04-02T12:00:00,Storage,SKU14,29500,sec,2360,INR,0.0,0.08,2026-01-01
U45,ACCT1024,VM100143,2026-03-20T22:00:00,Compute,SKU15,16471,sec,1317.68,INR,0.0,0.08,2026-01-01
U46,ACCT1071,VM100051,2026-01-09T15:00:00,Compute,SKU3,42838,sec,3427.04,INR,0.0,0.08,2026-01-01
U47,ACCT1097,VM100122,2026-01-29T09:00:00,Network,SKU16,26734,sec,2138.72,INR,0.0,0.08,2026-01-01
U48,ACCT1028,VM100206,2026-06-04T00:00:00,Storage,SKU13,3942,sec,315.36,INR,100.0,0.08,2026-01-01
U49,ACCT1001,VM100200,2026-02-15T06:00:00,Database,SKU14,29919,sec,2393.52,INR,0.0,0.08,2026-01-01
U50,ACCT1090,VM100285,2026-04-23T23:00:00,Network,SKU5,47181,sec,3774.48,INR,0.0,0.08,2026-01-01
U51,ACCT1025,VM100152,2026-02-07T03:00:00,Compute,SKU11,3932,sec,314.56,INR,0.0,0.08,2026-01-01
U52,ACCT1008,VM100026,2026-04-10T16:00:00,Storage,SKU2,31346,sec,2507.68,INR,0.0,0.08,2026-01-01
U53,ACCT1066,VM100042,2026-05-26T07:00:00,Compute,SKU20,12278,sec,982.24,INR,0.0,0.08,2026-01-01
U54,ACCT1009,VM100121,2026-03-10T21:00:00,Storage,SKU19,7956,sec,636.48,INR,0.0,0.08,2026-01-01
U55,ACCT1077,VM100021,2026-04-16T16:00:00,Network,SKU19,5472,sec,437.76,INR,0.0,0.08,2026-01-01
U56,ACCT1073,VM100268,2026-02-23T23:00:00,Storage,SKU11,17189,sec,1375.12,INR,100.0,0.08,2026-01-01
U57,ACCT1031,VM100136,2026-03-09T13:00:00,Database,SKU15,8677,sec,694.16,INR,0.0,0.08,2026-01-01
U58,ACCT1041,VM100038,2026-01-02T14:00:00,Compute,SKU3,30134,sec,2410.72,INR,0.0,0.08,2026-01-01
U59,ACCT1069,VM100110,2026-03-28T08:00:00,Storage,SKU12,17480,sec,1398.4,INR,0.0,0.08,2026-01-01
U60,ACCT1009,VM100126,2026-03-05T01:00:00,Storage,SKU15,18776,sec,1502.08,INR,0.0,0.08,2026-01-01
U61,ACCT1070,VM100155,2026-04-15T09:00:00,Compute,SKU18,42958,sec,3436.64,INR,0.0,0.08,2026-01-01
U62,ACCT1039,VM100054,2026-06-10T05:00:00,Database,SKU4,8900,sec,712,INR,0.0,0.08,2026-01-01
U63,ACCT1014,VM100284,2026-01-27T12:00:00,Database,SKU20,17948,sec,1435.84,INR,0.0,0.08,2026-01-01
U64,ACCT1027,VM100176,2026-02-04T17:00:00,Database,SKU17,45155,sec,3612.4,INR,100.0,0.08,2026-01-01
U65,ACCT1063,VM100129,2026-06-04T12:00:00,Compute,SKU14,3429,sec,274.32,INR,0.0,0.08,2026-01-01
U66,ACCT1036,VM100023,2026-01-01T14:00:00,Storage,SKU9,21959,sec,1756.72,INR,0.0,0.08,2026-01-01
U67,ACCT1021,VM100227,2026-04-05T03:00:00,Network,SKU18,46346,sec,3707.68,INR,0.0,0.08,2026-01-01
U68,ACCT1002,VM100058,2026-01-13T20:00:00,Storage,SKU18,45386,sec,3630.88,INR,0.0,0.08,2026-01-01
U69,ACCT1005,VM100190,2026-04-10T09:00:00,Storage,SKU14,36310,sec,2904.8,INR,0.0,0.08,2026-01-01
U70,ACCT1017,VM100022,2026-02-22T14:00:00,Compute,SKU12,23997,sec,1919.76,INR,0.0,0.08,2026-01-01
U71,ACCT1027,VM100128,2026-04-24T19:00:00,Database,SKU18,6836,sec,546.88,INR,0.0,0.08,2026-01-01
U72,ACCT1053,VM100080,2026-06-07T23:00:00,Storage,SKU6,15614,sec,1249.12,INR,100.0,0.08,2026-01-01
U73,ACCT1053,VM100013,2026-01-31T14:00:00,Database,SKU14,48371,sec,3869.68,INR,0.0,0.08,2026-01-01
U74,ACCT1086,VM100128,2026-02-15T12:00:00,Compute,SKU13,10533,sec,842.64,INR,0.0,0.08,2026-01-01
U75,ACCT1005,VM100241,2026-02-07T23:00:00,Network,SKU12,13179,sec,1054.32,INR,0.0,0.08,2026-01-01
U76,ACCT1040,VM100117,2026-02-08T01:00:00,Storage,SKU13,1650,sec,132,INR,0.0,0.08,2026-01-01
U77,ACCT1043,VM100143,2026-05-28T12:00:00,Database,SKU12,4649,sec,371.92,INR,0.0,0.08,2026-01-01
U78,ACCT1083,VM100261,2026-03-10T05:00:00,Database,SKU1,44632,sec,3570.56,INR,0.0,0.08,2026-01-01
U79,ACCT1015,VM100134,2026-01-31T11:00:00,Database,SKU2,38149,sec,3051.92,INR,0.0,0.08,2026-01-01
U80,ACCT1014,VM100223,2026-02-28T23:00:00,Database,SKU14,47845,sec,3827.6,INR,100.0,0.08,2026-01-01
U81,ACCT1078,VM100262,2026-01-20T17:00:00,Storage,SKU9,25344,sec,2027.52,INR,0.0,0.08,2026-01-01
U82,ACCT1006,VM100224,2026-01-01T06:00:00,Storage,SKU12,34173,sec,2733.84,INR,0.0,0.08,2026-01-01
U83,ACCT1056,VM100036,2026-06-11T22:00:00,Database,SKU20,43631,sec,3490.48,INR,0.0,0.08,2026-01-01
U84,ACCT1041,VM100064,2026-05-03T20:00:00,Database,SKU14,19781,sec,1582.48,INR,0.0,0.08,2026-01-01
U85,ACCT1042,VM100207,2026-04-29T23:00:00,Storage,SKU7,19476,sec,1558.08,INR,0.0,0.08,2026-01-01
U86,ACCT1054,VM100195,2026-04-26T14:00:00,Storage,SKU20,49129,sec,3930.32,INR,0.0,0.08,2026-01-01
U87,ACCT1073,VM100155,2026-03-11T07:00:00,Compute,SKU10,36009,sec,2880.72,INR,0.0,0.08,2026-01-01
U88,ACCT1037,VM100108,2026-03-15T08:00:00,Database,SKU15,38109,sec,3048.72,INR,100.0,0.08,2026-01-01
U89,ACCT1057,VM100227,2026-04-26T07:00:00,Network,SKU6,14105,sec,1128.4,INR,0.0,0.08,2026-01-01
U90,ACCT1085,VM100044,2026-02-18T10:00:00,Database,SKU3,33880,sec,2710.4,INR,0.0,0.08,2026-01-01
U91,ACCT1097,VM100121,2026-04-25T19:00:00,Storage,SKU7,20443,sec,1635.44,INR,0.0,0.08,2026-01-01
U92,ACCT1019,VM100013,2026-01-08T21:00:00,Network,SKU20,16146,sec,1291.68,INR,0.0,0.08,2026-01-01
U93,ACCT1099,VM100038,2026-03-19T17:00:00,Storage,SKU13,27260,sec,2180.8,INR,0.0,0.08,2026-01-01
U94,ACCT1064,VM100205,2026-02-11T15:00:00,Compute,SKU4,9771,sec,781.68,INR,0.0,0.08,2026-01-01
U95,ACCT1100,VM100218,2026-02-07T08:00:00,Network,SKU2,11626,sec,930.08,INR,0.0,0.08,2026-01-01
U96,ACCT1072,VM100128,2026-06-06T13:00:00,Network,SKU5,8053,sec,644.24,INR,100.0,0.08,2026-01-01
U97,ACCT1060,VM100272,2026-04-06T09:00:00,Database,SKU15,39123,sec,3129.84,INR,0.0,0.08,2026-01-01
U98,ACCT1079,VM100259,2026-03-14T19:00:00,Network,SKU6,36005,sec,2880.4,INR,0.0,0.08,2026-01-01
U99,ACCT1096,VM100244,2026-03-18T19:00:00,Storage,SKU9,17086,sec,1366.88,INR,0.0,0.08,2026-01-01
U100,ACCT1099,VM100267,2026-03-24T16:00:00,Storage,SKU9,41174,sec,3293.92,INR,0.0,0.08,2026-01-01
U101,ACCT1057,VM100040,2026-05-02T18:00:00,Storage,SKU9,18825,sec,1506,INR,0.0,0.08,2026-01-01
U102,ACCT1043,VM100164,2026-06-02T09:00:00,Compute,SKU5,35499,sec,2839.92,INR,0.0,0.08,2026-01-01
U103,ACCT1020,VM100119,2026-03-07T08:00:00,Storage,SKU7,45578,sec,3646.24,INR,0.0,0.08,2026-01-01
U104,ACCT1009,VM100213,2026-03-11T13:00:00,Network,SKU14,21784,sec,1742.72,INR,100.0,0.08,2026-01-01
U105,ACCT1008,VM100106,2026-05-23T03:00:00,Network,SKU19,27634,sec,2210.72,INR,0.0,0.08,2026-01-01
U106,ACCT1090,VM100011,2026-05-27T05:00:00,Network,SKU16,37828,sec,3026.24,INR,0.0,0.08,2026-01-01
U107,ACCT1001,VM100181,2026-02-20T23:00:00,Network,SKU14,49479,sec,3958.32,INR,0.0,0.08,2026-01-01
U108,ACCT1069,VM100280,2026-05-17T12:00:00,Storage,SKU16,39634,sec,3170.72,INR,0.0,0.08,2026-01-01
U109,ACCT1029,VM100140,2026-03-16T09:00:00,Compute,SKU13,31927,sec,2554.16,INR,0.0,0.08,2026-01-01
U110,ACCT1044,VM100208,2026-05-04T14:00:00,Network,SKU5,10916,sec,873.28,INR,0.0,0.08,2026-01-01
U111,ACCT1080,VM100274,2026-01-05T14:00:00,Compute,SKU3,25922,sec,2073.76,INR,0.0,0.08,2026-01-01
U112,ACCT1083,VM100220,2026-01-24T03:00:00,Storage,SKU2,30357,sec,2428.56,INR,100.0,0.08,2026-01-01
U113,ACCT1034,VM100195,2026-02-25T20:00:00,Network,SKU11,13971,sec,1117.68,INR,0.0,0.08,2026-01-01
U114,ACCT1044,VM100195,2026-02-17T11:00:00,Network,SKU9,49383,sec,3950.64,INR,0.0,0.08,2026-01-01
U115,ACCT1011,VM100241,2026-01-04T07:00:00,Compute,SKU12,49188,sec,3935.04,INR,0.0,0.08,2026-01-01
U116,ACCT1029,VM100036,2026-05-14T07:00:00,Compute,SKU1,42813,sec,3425.04,INR,0.0,0.08,2026-01-01
U117,ACCT1032,VM100103,2026-05-24T05:00:00,Storage,SKU8,1435,sec,114.8,INR,0.0,0.08,2026-01-01
U118,ACCT1017,VM100243,2026-04-25T06:00:00,Storage,SKU15,7596,sec,607.68,INR,0.0,0.08,2026-01-01
U119,ACCT1090,VM100132,2026-05-11T21:00:00,Storage,SKU20,24275,sec,1942,INR,0.0,0.08,2026-01-01
U120,ACCT1078,VM100059,2026-05-13T17:00:00,Database,SKU4,10832,sec,866.56,INR,100.0,0.08,2026-01-01
U121,ACCT1075,VM100014,2026-06-08T12:00:00,Network,SKU13,20544,sec,1643.52,INR,0.0,0.08,2026-01-01
U122,ACCT1092,VM100102,2026-01-13T23:00:00,Storage,SKU4,38903,sec,3112.24,INR,0.0,0.08,2026-01-01
U123,ACCT1090,VM100155,2026-05-26T02:00:00,Compute,SKU19,44943,sec,3595.44,INR,0.0,0.08,2026-01-01
U124,ACCT1006,VM100178,2026-04-01T22:00:00,Database,SKU3,28174,sec,2253.92,INR,0.0,0.08,2026-01-01
U125,ACCT1065,VM100175,2026-01-03T03:00:00,Network,SKU4,27628,sec,2210.24,INR,0.0,0.08,2026-01-01
U126,ACCT1056,VM100186,2026-04-19T11:00:00,Storage,SKU14,30229,sec,2418.32,INR,0.0,0.08,2026-01-01
U127,ACCT1023,VM100268,2026-06-14T18:00:00,Database,SKU20,42728,sec,3418.24,INR,0.0,0.08,2026-01-01
U128,ACCT1069,VM100248,2026-03-21T08:00:00,Database,SKU11,28645,sec,2291.6,INR,100.0,0.08,2026-01-01
U129,ACCT1032,VM100045,2026-02-17T14:00:00,Storage,SKU15,29643,sec,2371.44,INR,0.0,0.08,2026-01-01
U130,ACCT1073,VM100195,2026-02-27T09:00:00,Network,SKU11,1980,sec,158.4,INR,0.0,0.08,2026-01-01
U131,ACCT1024,VM100250,2026-02-06T04:00:00,Database,SKU11,23353,sec,1868.24,INR,0.0,0.08,2026-01-01
U132,ACCT1036,VM100142,2026-04-05T20:00:00,Storage,SKU3,765,sec,61.2,INR,0.0,0.08,2026-01-01
U133,ACCT1031,VM100209,2026-03-25T09:00:00,Storage,SKU16,36484,sec,2918.72,INR,0.0,0.08,2026-01-01
U134,ACCT1083,VM100252,2026-03-18T11:00:00,Compute,SKU10,1230,sec,98.4,INR,0.0,0.08,2026-01-01
U135,ACCT1029,VM100208,2026-04-29T01:00:00,Database,SKU19,16045,sec,1283.6,INR,0.0,0.08,2026-01-01
U136,ACCT1048,VM100243,2026-04-05T11:00:00,Database,SKU14,34894,sec,2791.52,INR,100.0,0.08,2026-01-01
U137,ACCT1096,VM100282,2026-02-26T10:00:00,Network,SKU9,23156,sec,1852.48,INR,0.0,0.08,2026-01-01
U138,ACCT1040,VM100129,2026-02-09T08:00:00,Storage,SKU11,8007,sec,640.56,INR,0.0,0.08,2026-01-01
U139,ACCT1016,VM100275,2026-06-12T06:00:00,Storage,SKU7,45330,sec,3626.4,INR,0.0,0.08,2026-01-01
U140,ACCT1028,VM100248,2026-02-17T04:00:00,Database,SKU4,47586,sec,3806.88,INR,0.0,0.08,2026-01-01
U141,ACCT1025,VM100152,2026-02-08T19:00:00,Storage,SKU10,23750,sec,1900,INR,0.0,0.08,2026-01-01
U142,ACCT1002,VM100274,2026-01-22T14:00:00,Compute,SKU2,18077,sec,1446.16,INR,0.0,0.08,2026-01-01
U143,ACCT1071,VM100150,2026-04-30T00:00:00,Network,SKU4,8375,sec,670,INR,0.0,0.08,2026-01-01
U144,ACCT1002,VM100294,2026-02-18T12:00:00,Network,SKU15,30862,sec,2468.96,INR,100.0,0.08,2026-01-01
U145,ACCT1044,VM100095,2026-06-14T18:00:00,Database,SKU16,3467,sec,277.36,INR,0.0,0.08,2026-01-01
U146,ACCT1015,VM100034,2026-03-10T09:00:00,Compute,SKU19,32327,sec,2586.16,INR,0.0,0.08,2026-01-01
U147,ACCT1081,VM100028,2026-01-26T21:00:00,Database,SKU3,9877,sec,790.16,INR,0.0,0.08,2026-01-01
U148,ACCT1032,VM100061,2026-04-06T05:00:00,Storage,SKU17,27374,sec,2189.92,INR,0.0,0.08,2026-01-01
U149,ACCT1049,VM100231,2026-06-05T01:00:00,Database,SKU19,29114,sec,2329.12,INR,0.0,0.08,2026-01-01
U150,ACCT1055,VM100157,2026-04-08T01:00:00,Compute,SKU20,40799,sec,3263.92,INR,0.0,0.08,2026-01-01
U151,ACCT1095,VM100051,2026-06-11T17:00:00,Storage,SKU9,13717,sec,1097.36,INR,0.0,0.08,2026-01-01
U152,ACCT1085,VM100042,2026-01-27T19:00:00,Storage,SKU18,15819,sec,1265.52,INR,100.0,0.08,2026-01-01
U153,ACCT1010,VM100081,2026-01-01T10:00:00,Network,SKU20,26872,sec,2149.76,INR,0.0,0.08,2026-01-01
U154,ACCT1061,VM100150,2026-01-06T13:00:00,Database,SKU10,15270,sec,1221.6,INR,0.0,0.08,2026-01-01
U155,ACCT1090,VM100233,2026-01-13T03:00:00,Storage,SKU9,45148,sec,3611.84,INR,0.0,0.08,2026-01-01
U156,ACCT1081,VM100102,2026-03-14T13:00:00,Storage,SKU5,7621,sec,609.68,INR,0.0,0.08,2026-01-01
U157,ACCT1035,VM100073,2026-01-13T04:00:00,Storage,SKU10,4008,sec,320.64,INR,0.0,0.08,2026-01-01
U158,ACCT1077,VM100292,2026-06-07T05:00:00,Network,SKU4,19014,sec,1521.12,INR,0.0,0.08,2026-01-01
U159,ACCT1060,VM100156,2026-04-30T10:00:00,Database,SKU17,26478,sec,2118.24,INR,0.0,0.08,2026-01-01
U160,ACCT1070,VM100253,2026-03-16T17:00:00,Compute,SKU14,5371,sec,429.68,INR,100.0,0.08,2026-01-01
U161,ACCT1095,VM100166,2026-04-14T00:00:00,Compute,SKU3,16508,sec,1320.64,INR,0.0,0.08,2026-01-01
U162,ACCT1030,VM100295,2026-04-11T04:00:00,Database,SKU19,1459,sec,116.72,INR,0.0,0.08,2026-01-01
U163,ACCT1006,VM100090,2026-03-22T07:00:00,Network,SKU9,34110,sec,2728.8,INR,0.0,0.08,2026-01-01
U164,ACCT1024,VM100300,2026-03-16T09:00:00,Network,SKU3,41701,sec,3336.08,INR,0.0,0.08,2026-01-01
U165,ACCT1061,VM100179,2026-03-11T16:00:00,Database,SKU4,21943,sec,1755.44,INR,0.0,0.08,2026-01-01
U166,ACCT1021,VM100169,2026-03-12T06:00:00,Network,SKU10,45560,sec,3644.8,INR,0.0,0.08,2026-01-01
U167,ACCT1085,VM100206,2026-05-19T20:00:00,Compute,SKU15,49940,sec,3995.2,INR,0.0,0.08,2026-01-01
U168,ACCT1012,VM100162,2026-02-13T01:00:00,Compute,SKU13,21286,sec,1702.88,INR,100.0,0.08,2026-01-01
U169,ACCT1066,VM100001,2026-04-23T05:00:00,Network,SKU14,35659,sec,2852.72,INR,0.0,0.08,2026-01-01
U170,ACCT1007,VM100097,2026-03-30T11:00:00,Network,SKU15,23809,sec,1904.72,INR,0.0,0.08,2026-01-01
U171,ACCT1098,VM100027,2026-02-04T17:00:00,Storage,SKU10,17601,sec,1408.08,INR,0.0,0.08,2026-01-01
U172,ACCT1057,VM100249,2026-01-21T17:00:00,Storage,SKU6,1991,sec,159.28,INR,0.0,0.08,2026-01-01
U173,ACCT1040,VM100283,2026-01-03T08:00:00,Network,SKU3,36292,sec,2903.36,INR,0.0,0.08,2026-01-01
U174,ACCT1029,VM100059,2026-03-20T18:00:00,Storage,SKU16,7798,sec,623.84,INR,0.0,0.08,2026-01-01
U175,ACCT1092,VM100150,2026-03-28T20:00:00,Database,SKU14,46329,sec,3706.32,INR,0.0,0.08,2026-01-01
U176,ACCT1062,VM100242,2026-02-11T14:00:00,Storage,SKU13,30035,sec,2402.8,INR,100.0,0.08,2026-01-01
U177,ACCT1025,VM100261,2026-05-08T08:00:00,Compute,SKU9,9046,sec,723.68,INR,0.0,0.08,2026-01-01
U178,ACCT1099,VM100213,2026-02-28T00:00:00,Database,SKU1,33375,sec,2670,INR,0.0,0.08,2026-01-01
U179,ACCT1037,VM100153,2026-05-23T22:00:00,Network,SKU5,38565,sec,3085.2,INR,0.0,0.08,2026-01-01
U180,ACCT1058,VM100276,2026-03-24T15:00:00,Database,SKU18,22718,sec,1817.44,INR,0.0,0.08,2026-01-01
U181,ACCT1098,VM100279,2026-03-06T09:00:00,Database,SKU7,29941,sec,2395.28,INR,0.0,0.08,2026-01-01
U182,ACCT1090,VM100123,2026-04-08T14:00:00,Storage,SKU14,25198,sec,2015.84,INR,0.0,0.08,2026-01-01
U183,ACCT1006,VM100163,2026-05-08T02:00:00,Network,SKU13,31096,sec,2487.68,INR,0.0,0.08,2026-01-01
U184,ACCT1085,VM100078,2026-03-26T12:00:00,Storage,SKU17,2526,sec,202.08,INR,100.0,0.08,2026-01-01
U185,ACCT1076,VM100170,2026-05-29T10:00:00,Network,SKU4,6677,sec,534.16,INR,0.0,0.08,2026-01-01
U186,ACCT1068,VM100234,2026-01-03T14:00:00,Storage,SKU14,47446,sec,3795.68,INR,0.0,0.08,2026-01-01
U187,ACCT1084,VM100080,2026-01-13T18:00:00,Database,SKU11,30868,sec,2469.44,INR,0.0,0.08,2026-01-01
U188,ACCT1080,VM100204,2026-04-21T21:00:00,Database,SKU18,5363,sec,429.04,INR,0.0,0.08,2026-01-01
U189,ACCT1049,VM100163,2026-04-17T23:00:00,Network,SKU18,47201,sec,3776.08,INR,0.0,0.08,2026-01-01
U190,ACCT1005,VM100036,2026-02-10T01:00:00,Database,SKU8,41463,sec,3317.04,INR,0.0,0.08,2026-01-01
U191,ACCT1096,VM100047,2026-03-16T01:00:00,Compute,SKU15,6551,sec,524.08,INR,0.0,0.08,2026-01-01
U192,ACCT1022,VM100154,2026-06-04T04:00:00,Compute,SKU11,1997,sec,159.76,INR,100.0,0.08,2026-01-01
U193,ACCT1008,VM100151,2026-03-03T04:00:00,Network,SKU5,24665,sec,1973.2,INR,0.0,0.08,2026-01-01
U194,ACCT1032,VM100272,2026-03-12T07:00:00,Storage,SKU6,37188,sec,2975.04,INR,0.0,0.08,2026-01-01
U195,ACCT1023,VM100041,2026-04-15T00:00:00,Storage,SKU16,25170,sec,2013.6,INR,0.0,0.08,2026-01-01
U196,ACCT1075,VM100074,2026-02-09T15:00:00,Database,SKU15,30321,sec,2425.68,INR,0.0,0.08,2026-01-01
U197,ACCT1033,VM100005,2026-06-03T09:00:00,Database,SKU18,30590,sec,2447.2,INR,0.0,0.08,2026-01-01
U198,ACCT1021,VM100038,2026-03-17T09:00:00,Database,SKU14,22746,sec,1819.68,INR,0.0,0.08,2026-01-01
U199,ACCT1089,VM100129,2026-03-19T23:00:00,Storage,SKU13,19899,sec,1591.92,INR,0.0,0.08,2026-01-01
U200,ACCT1062,VM100055,2026-02-10T11:00:00,Database,SKU19,25093,sec,2007.44,INR,100.0,0.08,2026-01-01
U201,ACCT1038,VM100152,2026-01-04T17:00:00,Network,SKU9,43237,sec,3458.96,INR,0.0,0.08,2026-01-01
U202,ACCT1002,VM100290,2026-05-28T15:00:00,Compute,SKU20,45044,sec,3603.52,INR,0.0,0.08,2026-01-01
U203,ACCT1096,VM100255,2026-05-23T03:00:00,Storage,SKU20,18856,sec,1508.48,INR,0.0,0.08,2026-01-01
U204,ACCT1046,VM100113,2026-04-19T15:00:00,Database,SKU5,12560,sec,1004.8,INR,0.0,0.08,2026-01-01
U205,ACCT1081,VM100050,2026-06-04T04:00:00,Compute,SKU10,41221,sec,3297.68,INR,0.0,0.08,2026-01-01
U206,ACCT1057,VM100018,2026-04-09T21:00:00,Storage,SKU3,24011,sec,1920.88,INR,0.0,0.08,2026-01-01
U207,ACCT1038,VM100168,2026-05-08T13:00:00,Storage,SKU7,27330,sec,2186.4,INR,0.0,0.08,2026-01-01
U208,ACCT1017,VM100277,2026-05-30T13:00:00,Database,SKU6,24076,sec,1926.08,INR,100.0,0.08,2026-01-01
U209,ACCT1033,VM100247,2026-06-15T02:00:00,Database,SKU4,19442,sec,1555.36,INR,0.0,0.08,2026-01-01
U210,ACCT1060,VM100039,2026-01-25T00:00:00,Storage,SKU13,49524,sec,3961.92,INR,0.0,0.08,2026-01-01
U211,ACCT1072,VM100188,2026-01-16T09:00:00,Compute,SKU9,25958,sec,2076.64,INR,0.0,0.08,2026-01-01
U212,ACCT1069,VM100064,2026-03-19T14:00:00,Database,SKU19,24255,sec,1940.4,INR,0.0,0.08,2026-01-01
