Usage_ID,Account,Resource_ID,TS,Service,SKU,Usage,Unit,Cost,Currency,Credit_Amount,Price_Per_Second,Effective_Date,Date,Month,Day,Hour,Cloud_Provider,Net_Cost,Blended_Rate,Effective_Discount_%,Region,Owner,Environment,CPU_Utilization,Memory_Utilization,Disk_Utilization,Purchase_Type,Status,Tags_Present,Tag_Completeness_%,Tag_Status,Recommendation,Priority,Estimated_Savings
U16,ACCT1099,VM100029,2026-02-09 02:00:00,DATABASE,SKU13,2203,sec,176.24,INR,100.0,0.08,2026-01-01,2026-02-09,2026-02,9,2,Azure,276.24,0.1253926463912846,56.74,,,,,,,,,,,,Healthy,Low,0.0
U17,ACCT1035,VM100034,2026-02-06 00:00:00,Database,SKU7,37270,sec,2981.6,INR,0.0,0.08,2026-01-01,2026-02-06,2026-02,6,0,Azure,2981.6,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U18,ACCT1084,VM100256,2026-03-09 12:00:00,Network,SKU5,42229,sec,3378.32,INR,0.0,0.08,2026-01-01,2026-03-09,2026-03,9,12,Azure,3378.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U19,ACCT1034,VM100072,2026-02-12 02:00:00,Database,SKU19,48923,sec,3913.84,INR,0.0,0.08,2026-01-01,2026-02-12,2026-02,12,2,GCP,3913.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U20,ACCT1055,VM100299,2026-03-10 03:00:00,Storage,SKU5,23823,sec,1905.84,INR,0.0,0.08,2026-01-01,2026-03-10,2026-03,10,3,Azure,1905.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U21,ACCT1066,VM100253,2026-01-16 12:00:00,Compute,SKU4,49630,sec,3970.4,INR,0.0,0.08,2026-01-01,2026-01-16,2026-01,16,12,Azure,3970.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U22,ACCT1020,VM100082,2026-05-16 04:00:00,Network,SKU20,44696,sec,3575.68,INR,0.0,0.08,2026-01-01,2026-05-16,2026-05,16,4,AWS,3575.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U23,ACCT1009,VM100198,2026-03-07 03:00:00,Network,SKU17,39152,sec,3132.16,INR,0.0,0.08,2026-01-01,2026-03-07,2026-03,7,3,GCP,3132.16,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U24,ACCT1033,VM100284,2026-05-27 21:00:00,Compute,SKU18,852,sec,68.16,INR,100.0,0.08,2026-01-01,2026-05-27,2026-05,27,21,Azure,168.16,0.19737089201877933,146.71,,,,,,,,,,,,Healthy,Low,0.0
U25,ACCT1097,VM100137,2026-05-12 04:00:00,Database,SKU4,42106,sec,3368.48,INR,0.0,0.08,2026-01-01,2026-05-12,2026-05,12,4,GCP,3368.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U26,ACCT1038,VM100223,2026-01-27 23:00:00,Compute,SKU9,29835,sec,2386.8,INR,0.0,0.08,2026-01-01,2026-01-27,2026-01,27,23,Azure,2386.8,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U27,ACCT1065,VM100092,2026-03-28 15:00:00,Database,SKU17,7073,sec,565.84,INR,0.0,0.08,2026-01-01,2026-03-28,2026-03,28,15,Azure,565.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U28,ACCT1078,VM100102,2026-01-27 02:00:00,Storage,SKU18,24604,sec,1968.32,INR,0.0,0.08,2026-01-01,2026-01-27,2026-01,27,2,Azure,1968.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U29,ACCT1100,VM100272,2026-06-06 18:00:00,Database,SKU16,137,sec,10.96,INR,0.0,0.08,2026-01-01,2026-06-06,2026-06,6,18,AWS,10.96,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U30,ACCT1003,VM100058,2026-06-08 13:00:00,Database,SKU8,23888,sec,1911.04,INR,0.0,0.08,2026-01-01,2026-06-08,2026-06,8,13,AWS,1911.04,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U31,ACCT1008,VM100124,2026-05-30 20:00:00,Compute,SKU3,37282,sec,2982.56,INR,0.0,0.08,2026-01-01,2026-05-30,2026-05,30,20,AWS,2982.56,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U32,ACCT1094,VM100249,2026-05-20 06:00:00,Storage,SKU5,4635,sec,370.8,INR,100.0,0.08,2026-01-01,2026-05-20,2026-05,20,6,GCP,470.8,0.10157497303128371,26.97,,,,,,,,,,,,Healthy,Low,0.0
U33,ACCT1085,VM100244,2026-06-11 14:00:00,Storage,SKU9,36131,sec,2890.48,INR,0.0,0.08,2026-01-01,2026-06-11,2026-06,11,14,GCP,2890.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U34,ACCT1068,VM100217,2026-06-14 14:00:00,Storage,SKU10,13980,sec,1118.4,INR,0.0,0.08,2026-01-01,2026-06-14,2026-06,14,14,AWS,1118.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U35,ACCT1052,VM100192,2026-03-16 18:00:00,Network,SKU4,34019,sec,2721.52,INR,0.0,0.08,2026-01-01,2026-03-16,2026-03,16,18,GCP,2721.52,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U36,ACCT1032,VM100116,2026-01-11 22:00:00,Compute,SKU19,22256,sec,1780.48,INR,0.0,0.08,2026-01-01,2026-01-11,2026-01,11,22,Azure,1780.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U37,ACCT1071,VM100118,2026-04-11 10:00:00,Compute,SKU3,14532,sec,1162.56,INR,0.0,0.08,2026-01-01,2026-04-11,2026-04,11,10,Azure,1162.56,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U38,ACCT1091,VM100031,2026-02-09 01:00:00,Compute,SKU11,4517,sec,361.36,INR,0.0,0.08,2026-01-01,2026-02-09,2026-02,9,1,Azure,361.36,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U39,ACCT1010,VM100264,2026-02-10 14:00:00,Network,SKU7,18350,sec,1468.0,INR,0.0,0.08,2026-01-01,2026-02-10,2026-02,10,14,AWS,1468.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U40,ACCT1070,VM100068,2026-05-04 10:00:00,Network,SKU8,37523,sec,3001.84,INR,100.0,0.08,2026-01-01,2026-05-04,2026-05,4,10,GCP,3101.84,0.08266503211363697,3.33,,,,,,,,,,,,Healthy,Low,0.0
U41,ACCT1061,VM100209,2026-02-02 11:00:00,Compute,SKU14,6281,sec,502.48,INR,0.0,0.08,2026-01-01,2026-02-02,2026-02,2,11,AWS,502.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U42,ACCT1046,VM100217,2026-03-12 03:00:00,Compute,SKU4,30706,sec,2456.48,INR,0.0,0.08,2026-01-01,2026-03-12,2026-03,12,3,GCP,2456.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U43,ACCT1008,VM100207,2026-05-05 06:00:00,Compute,SKU8,22336,sec,1786.88,INR,0.0,0.08,2026-01-01,2026-05-05,2026-05,5,6,Azure,1786.88,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U44,ACCT1025,VM100098,2026-04-02 12:00:00,Storage,SKU14,29500,sec,2360.0,INR,0.0,0.08,2026-01-01,2026-04-02,2026-04,2,12,AWS,2360.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U45,ACCT1024,VM100143,2026-03-20 22:00:00,Compute,SKU15,16471,sec,1317.68,INR,0.0,0.08,2026-01-01,2026-03-20,2026-03,20,22,GCP,1317.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U46,ACCT1071,VM100051,2026-01-09 15:00:00,Compute,SKU3,42838,sec,3427.04,INR,0.0,0.08,2026-01-01,2026-01-09,2026-01,9,15,GCP,3427.04,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U47,ACCT1097,VM100122,2026-01-29 09:00:00,Network,SKU16,26734,sec,2138.72,INR,0.0,0.08,2026-01-01,2026-01-29,2026-01,29,9,Azure,2138.72,0.07999999999999999,0.0,,,,,,,,,,,,Healthy,Low,0.0
U48,ACCT1028,VM100206,2026-06-04 00:00:00,Storage,SKU13,3942,sec,315.36,INR,100.0,0.08,2026-01-01,2026-06-04,2026-06,4,0,AWS,415.36,0.10536783358701167,31.71,,,,,,,,,,,,Healthy,Low,0.0
U49,ACCT1001,VM100200,2026-02-15 06:00:00,Database,SKU14,29919,sec,2393.52,INR,0.0,0.08,2026-01-01,2026-02-15,2026-02,15,6,AWS,2393.52,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U50,ACCT1090,VM100285,2026-04-23 23:00:00,Network,SKU5,47181,sec,3774.48,INR,0.0,0.08,2026-01-01,2026-04-23,2026-04,23,23,AWS,3774.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U51,ACCT1025,VM100152,2026-02-07 03:00:00,Compute,SKU11,3932,sec,314.56,INR,0.0,0.08,2026-01-01,2026-02-07,2026-02,7,3,Azure,314.56,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U52,ACCT1008,VM100026,2026-04-10 16:00:00,Storage,SKU2,31346,sec,2507.68,INR,0.0,0.08,2026-01-01,2026-04-10,2026-04,10,16,AWS,2507.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U53,ACCT1066,VM100042,2026-05-26 07:00:00,Compute,SKU20,12278,sec,982.24,INR,0.0,0.08,2026-01-01,2026-05-26,2026-05,26,7,Azure,982.24,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U54,ACCT1009,VM100121,2026-03-10 21:00:00,Storage,SKU19,7956,sec,636.48,INR,0.0,0.08,2026-01-01,2026-03-10,2026-03,10,21,Azure,636.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U55,ACCT1077,VM100021,2026-04-16 16:00:00,Network,SKU19,5472,sec,437.76,INR,0.0,0.08,2026-01-01,2026-04-16,2026-04,16,16,Azure,437.76,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U56,ACCT1073,VM100268,2026-02-23 23:00:00,Storage,SKU11,17189,sec,1375.12,INR,100.0,0.08,2026-01-01,2026-02-23,2026-02,23,23,GCP,1475.12,0.08581767409389725,7.27,,,,,,,,,,,,Healthy,Low,0.0
U57,ACCT1031,VM100136,2026-03-09 13:00:00,Database,SKU15,8677,sec,694.16,INR,0.0,0.08,2026-01-01,2026-03-09,2026-03,9,13,AWS,694.16,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U58,ACCT1041,VM100038,2026-01-02 14:00:00,Compute,SKU3,30134,sec,2410.72,INR,0.0,0.08,2026-01-01,2026-01-02,2026-01,2,14,AWS,2410.72,0.07999999999999999,0.0,,,,,,,,,,,,Healthy,Low,0.0
U59,ACCT1069,VM100110,2026-03-28 08:00:00,Storage,SKU12,17480,sec,1398.4,INR,0.0,0.08,2026-01-01,2026-03-28,2026-03,28,8,Azure,1398.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U60,ACCT1009,VM100126,2026-03-05 01:00:00,Storage,SKU15,18776,sec,1502.08,INR,0.0,0.08,2026-01-01,2026-03-05,2026-03,5,1,Azure,1502.08,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U61,ACCT1070,VM100155,2026-04-15 09:00:00,Compute,SKU18,42958,sec,3436.64,INR,0.0,0.08,2026-01-01,2026-04-15,2026-04,15,9,AWS,3436.64,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U62,ACCT1039,VM100054,2026-06-10 05:00:00,Database,SKU4,8900,sec,712.0,INR,0.0,0.08,2026-01-01,2026-06-10,2026-06,10,5,Azure,712.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U63,ACCT1014,VM100284,2026-01-27 12:00:00,Database,SKU20,17948,sec,1435.84,INR,0.0,0.08,2026-01-01,2026-01-27,2026-01,27,12,AWS,1435.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U64,ACCT1027,VM100176,2026-02-04 17:00:00,Database,SKU17,45155,sec,3612.4,INR,100.0,0.08,2026-01-01,2026-02-04,2026-02,4,17,GCP,3712.4,0.08221459417561731,2.77,,,,,,,,,,,,Healthy,Low,0.0
U65,ACCT1063,VM100129,2026-06-04 12:00:00,Compute,SKU14,3429,sec,274.32,INR,0.0,0.08,2026-01-01,2026-06-04,2026-06,4,12,Azure,274.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U66,ACCT1036,VM100023,2026-01-01 14:00:00,Storage,SKU9,21959,sec,1756.72,INR,0.0,0.08,2026-01-01,2026-01-01,2026-01,1,14,AWS,1756.72,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U67,ACCT1021,VM100227,2026-04-05 03:00:00,Network,SKU18,46346,sec,3707.68,INR,0.0,0.08,2026-01-01,2026-04-05,2026-04,5,3,Azure,3707.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U68,ACCT1002,VM100058,2026-01-13 20:00:00,Storage,SKU18,45386,sec,3630.88,INR,0.0,0.08,2026-01-01,2026-01-13,2026-01,13,20,AWS,3630.88,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U69,ACCT1005,VM100190,2026-04-10 09:00:00,Storage,SKU14,36310,sec,2904.8,INR,0.0,0.08,2026-01-01,2026-04-10,2026-04,10,9,AWS,2904.8,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U70,ACCT1017,VM100022,2026-02-22 14:00:00,Compute,SKU12,23997,sec,1919.76,INR,0.0,0.08,2026-01-01,2026-02-22,2026-02,22,14,Azure,1919.76,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U71,ACCT1027,VM100128,2026-04-24 19:00:00,Database,SKU18,6836,sec,546.88,INR,0.0,0.08,2026-01-01,2026-04-24,2026-04,24,19,GCP,546.88,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U72,ACCT1053,VM100080,2026-06-07 23:00:00,Storage,SKU6,15614,sec,1249.12,INR,100.0,0.08,2026-01-01,2026-06-07,2026-06,7,23,AWS,1349.12,0.08640450877417702,8.01,,,,,,,,,,,,Healthy,Low,0.0
U73,ACCT1053,VM100013,2026-01-31 14:00:00,Database,SKU14,48371,sec,3869.68,INR,0.0,0.08,2026-01-01,2026-01-31,2026-01,31,14,AWS,3869.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U74,ACCT1086,VM100128,2026-02-15 12:00:00,Compute,SKU13,10533,sec,842.64,INR,0.0,0.08,2026-01-01,2026-02-15,2026-02,15,12,AWS,842.64,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U75,ACCT1005,VM100241,2026-02-07 23:00:00,Network,SKU12,13179,sec,1054.32,INR,0.0,0.08,2026-01-01,2026-02-07,2026-02,7,23,GCP,1054.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U76,ACCT1040,VM100117,2026-02-08 01:00:00,Storage,SKU13,1650,sec,132.0,INR,0.0,0.08,2026-01-01,2026-02-08,2026-02,8,1,GCP,132.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U77,ACCT1043,VM100143,2026-05-28 12:00:00,Database,SKU12,4649,sec,371.92,INR,0.0,0.08,2026-01-01,2026-05-28,2026-05,28,12,Azure,371.92,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U78,ACCT1083,VM100261,2026-03-10 05:00:00,Database,SKU1,44632,sec,3570.56,INR,0.0,0.08,2026-01-01,2026-03-10,2026-03,10,5,GCP,3570.56,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U79,ACCT1015,VM100134,2026-01-31 11:00:00,Database,SKU2,38149,sec,3051.92,INR,0.0,0.08,2026-01-01,2026-01-31,2026-01,31,11,Azure,3051.92,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U80,ACCT1014,VM100223,2026-02-28 23:00:00,Database,SKU14,47845,sec,3827.6,INR,100.0,0.08,2026-01-01,2026-02-28,2026-02,28,23,Azure,3927.6,0.08209008255826104,2.61,,,,,,,,,,,,Healthy,Low,0.0
U81,ACCT1078,VM100262,2026-01-20 17:00:00,Storage,SKU9,25344,sec,2027.52,INR,0.0,0.08,2026-01-01,2026-01-20,2026-01,20,17,GCP,2027.52,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U82,ACCT1006,VM100224,2026-01-01 06:00:00,Storage,SKU12,34173,sec,2733.84,INR,0.0,0.08,2026-01-01,2026-01-01,2026-01,1,6,Azure,2733.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U83,ACCT1056,VM100036,2026-06-11 22:00:00,Database,SKU20,43631,sec,3490.48,INR,0.0,0.08,2026-01-01,2026-06-11,2026-06,11,22,GCP,3490.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U84,ACCT1041,VM100064,2026-05-03 20:00:00,Database,SKU14,19781,sec,1582.48,INR,0.0,0.08,2026-01-01,2026-05-03,2026-05,3,20,Azure,1582.48,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U85,ACCT1042,VM100207,2026-04-29 23:00:00,Storage,SKU7,19476,sec,1558.08,INR,0.0,0.08,2026-01-01,2026-04-29,2026-04,29,23,GCP,1558.08,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U86,ACCT1054,VM100195,2026-04-26 14:00:00,Storage,SKU20,49129,sec,3930.32,INR,0.0,0.08,2026-01-01,2026-04-26,2026-04,26,14,GCP,3930.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U87,ACCT1073,VM100155,2026-03-11 07:00:00,Compute,SKU10,36009,sec,2880.72,INR,0.0,0.08,2026-01-01,2026-03-11,2026-03,11,7,Azure,2880.72,0.07999999999999999,0.0,,,,,,,,,,,,Healthy,Low,0.0
U88,ACCT1037,VM100108,2026-03-15 08:00:00,Database,SKU15,38109,sec,3048.72,INR,100.0,0.08,2026-01-01,2026-03-15,2026-03,15,8,AWS,3148.72,0.08262405206119289,3.28,,,,,,,,,,,,Healthy,Low,0.0
U89,ACCT1057,VM100227,2026-04-26 07:00:00,Network,SKU6,14105,sec,1128.4,INR,0.0,0.08,2026-01-01,2026-04-26,2026-04,26,7,Azure,1128.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U90,ACCT1085,VM100044,2026-02-18 10:00:00,Database,SKU3,33880,sec,2710.4,INR,0.0,0.08,2026-01-01,2026-02-18,2026-02,18,10,GCP,2710.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U91,ACCT1097,VM100121,2026-04-25 19:00:00,Storage,SKU7,20443,sec,1635.44,INR,0.0,0.08,2026-01-01,2026-04-25,2026-04,25,19,AWS,1635.44,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U92,ACCT1019,VM100013,2026-01-08 21:00:00,Network,SKU20,16146,sec,1291.68,INR,0.0,0.08,2026-01-01,2026-01-08,2026-01,8,21,Azure,1291.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U93,ACCT1099,VM100038,2026-03-19 17:00:00,Storage,SKU13,27260,sec,2180.8,INR,0.0,0.08,2026-01-01,2026-03-19,2026-03,19,17,Azure,2180.8,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U94,ACCT1064,VM100205,2026-02-11 15:00:00,Compute,SKU4,9771,sec,781.68,INR,0.0,0.08,2026-01-01,2026-02-11,2026-02,11,15,Azure,781.68,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U95,ACCT1100,VM100218,2026-02-07 08:00:00,Network,SKU2,11626,sec,930.08,INR,0.0,0.08,2026-01-01,2026-02-07,2026-02,7,8,AWS,930.08,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U96,ACCT1072,VM100128,2026-06-06 13:00:00,Network,SKU5,8053,sec,644.24,INR,100.0,0.08,2026-01-01,2026-06-06,2026-06,6,13,GCP,744.24,0.09241773252204148,15.52,,,,,,,,,,,,Healthy,Low,0.0
U97,ACCT1060,VM100272,2026-04-06 09:00:00,Database,SKU15,39123,sec,3129.84,INR,0.0,0.08,2026-01-01,2026-04-06,2026-04,6,9,Azure,3129.84,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U98,ACCT1079,VM100259,2026-03-14 19:00:00,Network,SKU6,36005,sec,2880.4,INR,0.0,0.08,2026-01-01,2026-03-14,2026-03,14,19,Azure,2880.4,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U99,ACCT1096,VM100244,2026-03-18 19:00:00,Storage,SKU9,17086,sec,1366.88,INR,0.0,0.08,2026-01-01,2026-03-18,2026-03,18,19,Azure,1366.88,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U100,ACCT1099,VM100267,2026-03-24 16:00:00,Storage,SKU9,41174,sec,3293.92,INR,0.0,0.08,2026-01-01,2026-03-24,2026-03,24,16,Azure,3293.92,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U101,ACCT1057,VM100040,2026-05-02 18:00:00,Storage,SKU9,18825,sec,1506.0,INR,0.0,0.08,2026-01-01,2026-05-02,2026-05,2,18,Azure,1506.0,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U102,ACCT1043,VM100164,2026-06-02 09:00:00,Compute,SKU5,35499,sec,2839.92,INR,0.0,0.08,2026-01-01,2026-06-02,2026-06,2,9,GCP,2839.92,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U103,ACCT1020,VM100119,2026-03-07 08:00:00,Storage,SKU7,45578,sec,3646.24,INR,0.0,0.08,2026-01-01,2026-03-07,2026-03,7,8,GCP,3646.24,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U104,ACCT1009,VM100213,2026-03-11 13:00:00,Network,SKU14,21784,sec,1742.72,INR,100.0,0.08,2026-01-01,2026-03-11,2026-03,11,13,Azure,1842.72,0.08459052515607786,5.74,,,,,,,,,,,,Healthy,Low,0.0
U105,ACCT1008,VM100106,2026-05-23 03:00:00,Network,SKU19,27634,sec,2210.72,INR,0.0,0.08,2026-01-01,2026-05-23,2026-05,23,3,AWS,2210.72,0.07999999999999999,0.0,,,,,,,,,,,,Healthy,Low,0.0
U106,ACCT1090,VM100011,2026-05-27 05:00:00,Network,SKU16,37828,sec,3026.24,INR,0.0,0.08,2026-01-01,2026-05-27,2026-05,27,5,GCP,3026.24,0.07999999999999999,0.0,,,,,,,,,,,,Healthy,Low,0.0
U107,ACCT1001,VM100181,2026-02-20 23:00:00,Network,SKU14,49479,sec,3958.32,INR,0.0,0.08,2026-01-01,2026-02-20,2026-02,20,23,AWS,3958.32,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U108,ACCT1069,VM100280,2026-05-17 12:00:00,Storage,SKU16,39634,sec,3170.72,INR,0.0,0.08,2026-01-01,2026-05-17,2026-05,17,12,GCP,3170.72,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U109,ACCT1029,VM100140,2026-03-16 09:00:00,Compute,SKU13,31927,sec,2554.16,INR,0.0,0.08,2026-01-01,2026-03-16,2026-03,16,9,Azure,2554.16,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U110,ACCT1044,VM100208,2026-05-04 14:00:00,Network,SKU5,10916,sec,873.28,INR,0.0,0.08,2026-01-01,2026-05-04,2026-05,4,14,GCP,873.28,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
U111,ACCT1080,VM100274,2026-01-05 14:00:00,Compute,SKU3,25922,sec,2073.76,INR,0.0,0.08,2026-01-01,2026-01-05,2026-01,5,14,Azure,2073.76,0.08,0.0,,,,,,,,,,,,Healthy,Low,0.0
